model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision,ticker,sector
Logistic Regression,0.848644578313253,0.7085862634080593,0.4230769230769231,0.5207100591715976,0.4668435013262599,0.8054535893521757,0.3874020618937343,XLB,Materials
Random Forest,0.858433734939759,0.6510152089895901,0.4344827586206896,0.3727810650887574,0.4012738853503185,0.7915362662160299,0.3998756330234307,XLB,Materials
Logistic Regression,0.6927710843373494,0.6536102508046395,0.4148471615720524,0.5757575757575758,0.482233502538071,0.7425669520859902,0.466840404729364,XLE,Energy
Random Forest,0.7033132530120482,0.6200582984150118,0.412087912087912,0.4545454545454545,0.4322766570605187,0.7141100382583349,0.4534410905413171,XLE,Energy
Logistic Regression,0.848644578313253,0.6827353045846292,0.4095744680851064,0.4610778443113772,0.4338028169014084,0.802286899070077,0.3884203679084427,XLF,Financials
Random Forest,0.8524096385542169,0.6336216455976935,0.3986013986013986,0.3413173652694611,0.3677419354838709,0.7735124067111256,0.3864464632234789,XLF,Financials
Logistic Regression,0.8177710843373494,0.6871576384662204,0.4375,0.4952830188679245,0.4646017699115044,0.7659768715763846,0.4139877461634735,XLI,Industrials
Random Forest,0.8358433734939759,0.640596469872185,0.4807692307692308,0.3537735849056603,0.4076086956521739,0.7367789274362615,0.4195165126807592,XLI,Industrials
Logistic Regression,0.7673192771084337,0.7524657225074762,0.564755838641189,0.7189189189189189,0.6325802615933412,0.8096259098346781,0.6323563262073739,XLK,Technology
Random Forest,0.7703313253012049,0.7346470687806805,0.5775656324582339,0.654054054054054,0.6134347275031685,0.8044715905885008,0.6370969413832709,XLK,Technology
Logistic Regression,0.7341867469879518,0.6604250181115673,0.4320652173913043,0.5247524752475248,0.4739195230998509,0.72522579087177,0.4965236950886517,XLP,Consumer Staples
Random Forest,0.7725903614457831,0.6457828221846575,0.5020080321285141,0.4125412541254125,0.4528985507246377,0.7141495612975931,0.5009754151362888,XLP,Consumer Staples
Logistic Regression,0.6295180722891566,0.5657168650905603,0.3594470046082949,0.4216216216216216,0.3880597014925373,0.6075156576200418,0.4248495663195855,XLU,Utilities
Random Forest,0.6935240963855421,0.5851972013767421,0.4359861591695502,0.3405405405405405,0.3823975720789074,0.5833380353213339,0.4320047066000814,XLU,Utilities
Logistic Regression,0.8072289156626506,0.7105380405236933,0.4385964912280701,0.5656108597285068,0.4940711462450592,0.7868561641875846,0.5115454699383656,XLV,Health Care
Random Forest,0.8463855421686747,0.6851340911599162,0.547486033519553,0.4434389140271493,0.49,0.7699256479744285,0.4641844234644762,XLV,Health Care
Logistic Regression,0.7484939759036144,0.7460921667107234,0.6098003629764065,0.7384615384615385,0.6679920477137177,0.8216557783568091,0.7148918138762475,XLY,Consumer Discretionary
Random Forest,0.7710843373493976,0.7548556826907342,0.65439672801636,0.7032967032967034,0.6779661016949152,0.829900683508931,0.7514739800323219,XLY,Consumer Discretionary
