ticker,sector,metric,feature_group,noise_intensity,noise_regime,seed_count,mean_paired_difference,std_paired_difference,paired_difference_ci95_lower,paired_difference_ci95_upper,proportion_seeds_favouring_logistic_regression,proportion_seeds_favouring_random_forest,proportion_ties,robustness_classification
XLB,Materials,accuracy,all_predictors,0.05,moderate,30,-0.00017570281124499001,0.0036500042300860887,-0.0014818400504258424,0.0011304344279358623,0.4666666666666667,0.4666666666666667,0.06666666666666667,No clear difference
XLB,Materials,accuracy,all_predictors,0.1,moderate,30,0.002033132530120456,0.004795810061876223,0.0003169739398858852,0.0037492911203550272,0.3,0.6333333333333333,0.06666666666666667,Random Forest more robust
XLB,Materials,accuracy,all_predictors,0.2,moderate,30,0.010316265060240914,0.006650863333919842,0.007936284181991266,0.012696245938490563,0.03333333333333333,0.9666666666666667,0.0,Random Forest more robust
XLB,Materials,accuracy,all_predictors,0.5,stress,30,0.06473393574297187,0.009136172857383397,0.06146459827364507,0.06800327321229868,0.0,1.0,0.0,Random Forest more robust
XLB,Materials,accuracy,all_predictors,1.0,stress,30,0.0967871485943775,0.011545544980860986,0.0926556283835682,0.1009186688051868,0.0,1.0,0.0,Random Forest more robust
XLB,Materials,accuracy,momentum,0.05,moderate,30,-0.0008785140562248701,0.001047954076195572,-0.0012535196062425811,-0.0005035085062071591,0.7333333333333333,0.1,0.16666666666666666,Logistic Regression more robust
XLB,Materials,accuracy,momentum,0.1,moderate,30,-0.0008032128514056001,0.0017790233064890204,-0.0014398281656626895,-0.00016659753714851077,0.5666666666666667,0.26666666666666666,0.16666666666666666,Logistic Regression more robust
XLB,Materials,accuracy,momentum,0.2,moderate,30,0.0005020080321285135,0.002464621625578106,-0.00037994548976701755,0.0013839615540240445,0.4,0.5,0.1,No clear difference
XLB,Materials,accuracy,momentum,0.5,stress,30,0.004543172690762993,0.004520163505324656,0.002925652953984074,0.006160692427541911,0.2,0.8,0.0,Random Forest more robust
XLB,Materials,accuracy,momentum,1.0,stress,30,0.011320281124497912,0.006616475976631759,0.008952605604017649,0.013687956644978174,0.03333333333333333,0.9666666666666667,0.0,Random Forest more robust
XLB,Materials,accuracy,returns,0.05,moderate,30,-0.0015813253012047766,0.0011922576876838506,-0.0020079692354083275,-0.0011546813670012257,0.8666666666666667,0.03333333333333333,0.1,Logistic Regression more robust
XLB,Materials,accuracy,returns,0.1,moderate,30,-0.0021335341365461497,0.0012979936635828832,-0.002598015203787653,-0.0016690530693046466,0.9,0.03333333333333333,0.06666666666666667,Logistic Regression more robust
XLB,Materials,accuracy,returns,0.2,moderate,30,-0.0018825301204819065,0.0018204878185826578,-0.0025339833198306213,-0.0012310769211331916,0.7666666666666667,0.1,0.13333333333333333,Logistic Regression more robust
XLB,Materials,accuracy,returns,0.5,stress,30,0.00010040160642570668,0.002716703417038285,-0.0008717582260356056,0.001072561438887019,0.4,0.43333333333333335,0.16666666666666666,No clear difference
XLB,Materials,accuracy,returns,1.0,stress,30,0.003463855421686723,0.004276172094797336,0.0019336468898382376,0.004994063953535208,0.16666666666666666,0.8,0.03333333333333333,Random Forest more robust
XLB,Materials,accuracy,volatility,0.05,moderate,30,-0.0006024096385542,0.002949071589576643,-0.0016577213536492462,0.0004529020765408463,0.4666666666666667,0.36666666666666664,0.16666666666666666,No clear difference
XLB,Materials,accuracy,volatility,0.1,moderate,30,0.0024849397590361033,0.003850556089905767,0.0011070359585076545,0.003862843559564552,0.3,0.6,0.1,Random Forest more robust
XLB,Materials,accuracy,volatility,0.2,moderate,30,0.010843373493975841,0.005374308289687486,0.008920201971559929,0.012766545016391753,0.03333333333333333,0.9666666666666667,0.0,Random Forest more robust
