model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,13543674031458151413,0.848644578313253,0.848644578313253,0.0,0.7085862634080593,0.7111134369049017,-0.0025271734968423942,0.4230769230769231,0.4238095238095238,-0.00073260073260073,0.5207100591715976,0.5266272189349113,-0.00591715976331364,0.46684350132625996,0.46965699208443273,-0.0028134907581727764,0.8054535893521757,0.8055148541642203,-6.126481204460354e-05,0.3874020618937343,0.38806112013356375,-0.0006590582398294798
Random Forest,returns,0.05,0,13543674031458151413,0.858433734939759,0.8576807228915663,0.0007530120481927804,0.6510152089895901,0.6505838026047757,0.0004314063848144256,0.43448275862068964,0.4315068493150685,0.0029759093056211383,0.3727810650887574,0.3727810650887574,0.0,0.4012738853503185,0.4,0.001273885350318471,0.7915362662160299,0.7912707853638364,0.00026548085219346707,0.3998756330234307,0.39773442474981563,0.0021412082736150806
Logistic Regression,returns,0.05,1,12898336839299885603,0.848644578313253,0.8493975903614458,-0.0007530120481927804,0.7085862634080593,0.7115448432897162,-0.002958579881656931,0.4230769230769231,0.4258373205741627,-0.0027603974972396084,0.5207100591715976,0.5266272189349113,-0.00591715976331364,0.46684350132625996,0.4708994708994709,-0.004055969573210916,0.8054535893521757,0.8052697949160417,0.00018379443613403268,0.3874020618937343,0.38727762427905604,0.00012443761467823
Random Forest,returns,0.05,1,12898336839299885603,0.858433734939759,0.8546686746987951,0.0037650602409639022,0.6510152089895901,0.6488581770655176,0.002157031924072461,0.43448275862068964,0.42,0.01448275862068965,0.3727810650887574,0.3727810650887574,0.0,0.4012738853503185,0.3949843260188088,0.006289559331509709,0.7915362662160299,0.792067227920417,-0.0005309617043870452,0.3998756330234307,0.3972965802298538,0.002579052793576897
Logistic Regression,returns,0.05,2,18367506909711026495,0.848644578313253,0.848644578313253,0.0,0.7085862634080593,0.7085862634080593,0.0,0.4230769230769231,0.4230769230769231,0.0,0.5207100591715976,0.5207100591715976,0.0,0.46684350132625996,0.46684350132625996,0.0,0.8054535893521757,0.8054995379612092,-4.594860903350817e-05,0.3874020618937343,0.3880722311943457,-0.0006701693006114229
Random Forest,returns,0.05,2,18367506909711026495,0.858433734939759,0.8561746987951807,0.0022590361445783413,0.6510152089895901,0.6471938163383043,0.003821392651285782,0.43448275862068964,0.4246575342465753,0.009825224374114316,0.3727810650887574,0.3668639053254438,0.00591715976331364,0.4012738853503185,0.39365079365079364,0.007623091699524853,0.7915362662160299,0.7903620239851741,0.0011742422308558265,0.3998756330234307,0.398423598117491,0.001452034905939703
Logistic Regression,returns,0.05,3,15681325829809884889,0.848644578313253,0.848644578313253,0.0,0.7085862634080593,0.7085862634080593,0.0,0.4230769230769231,0.4230769230769231,0.0,0.5207100591715976,0.5207100591715976,0.0,0.46684350132625996,0.46684350132625996,0.0,0.8054535893521757,0.8055148541642204,-6.126481204471457e-05,0.3874020618937343,0.38748881316885475,-8.675127512047798e-05
Random Forest,returns,0.05,3,15681325829809884889,0.858433734939759,0.8569277108433735,0.001506024096385561,0.6510152089895901,0.6476252227231187,0.0033899862664713565,0.43448275862068964,0.42758620689655175,0.006896551724137889,0.3727810650887574,0.3668639053254438,0.00591715976331364,0.4012738853503185,0.39490445859872614,0.006369426751592355,0.7915362662160299,0.790780666867479,0.0007555993485508505,0.3998756330234307,0.40012690380887833,-0.0002512707854476215
Logistic Regression,returns,0.05,4,8206760211790969616,0.848644578313253,0.848644578313253,0.0,0.7085862634080593,0.7085862634080593,0.0,0.4230769230769231,0.4230769230769231,0.0,0.5207100591715976,0.5207100591715976,0.0,0.46684350132625996,0.46684350132625996,0.0,0.8054535893521757,0.8053770083371198,7.658101505592096e-05,0.3874020618937343,0.38773552822095697,-0.00033346632722269787
Random Forest,returns,0.05,4,8206760211790969616,0.858433734939759,0.8591867469879518,-0.0007530120481927804,0.6510152089895901,0.6514466153744045,-0.0004314063848144256,0.43448275862068964,0.4375,-0.0030172413793103647,0.3727810650887574,0.3727810650887574,0.0,0.4012738853503185,0.402555910543131,-0.0012820251928125082,0.7915362662160299,0.7891775709523104,0.002358695263719457,0.3998756330234307,0.39602722275658714,0.0038484102668435716
