model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.05,accuracy,30,0.848644578313253,0.8487700803212849,0.0003995998723684029,0.8486270853434242,0.8489130752991455,-0.00012550200803213007,0.0003995998723684028,-0.00026849698589273834,1.749296982847816e-05
Logistic Regression,returns,0.05,balanced_accuracy,30,0.7085862634080593,0.7094163165212477,0.001361390693569628,0.7089291491181832,0.7099034839243122,-0.0008300531131884818,0.001361390693569628,-0.0013172205162529983,-0.00034288571012396524
Logistic Regression,returns,0.05,precision,30,0.4230769230769231,0.42363490310858726,0.0013552863131997923,0.4231499201299838,0.4241198860871907,-0.0005579800316642421,0.0013552863131997923,-0.0010429630102677002,-7.299705306078411e-05
Logistic Regression,returns,0.05,recall,30,0.5207100591715976,0.5224852071005918,0.0027579384597597716,0.5214982914975991,0.5234721227035845,-0.0017751479289940919,0.002757938459759771,-0.0027620635319867927,-0.0007882323260013913
Logistic Regression,returns,0.05,f1_score,30,0.46684350132625996,0.4678951245627011,0.001864930138749828,0.4672277678833269,0.4685624812420753,-0.0010516232364411072,0.001864930138749828,-0.0017189799158152603,-0.00038426655706695406
Logistic Regression,returns,0.05,roc_auc,30,0.8054535893521757,0.8054769040167592,0.00014623137229620496,0.8054245757922278,0.8055292322412906,-2.3314664583651278e-05,0.00014623137229620496,-7.564288911507537e-05,2.9013559947772813e-05
Logistic Regression,returns,0.05,average_precision,30,0.3874020618937343,0.3874954233865115,0.00035185229867376903,0.387369514658461,0.387621332114562,-9.33614927772645e-05,0.00035185229867376903,-0.00021927022082779448,3.254723527326548e-05
Random Forest,returns,0.05,accuracy,30,0.858433734939759,0.8569779116465862,0.001026273173887151,0.8566106645078193,0.8573451587853531,0.001455823293172709,0.001026273173887151,0.0010885761544057715,0.0018230704319396464
Random Forest,returns,0.05,balanced_accuracy,30,0.6510152089895901,0.6496757219462469,0.0013166704871100414,0.6492045574635404,0.6501468864289534,0.001339487043343135,0.0013166704871100411,0.0008683225606366983,0.0018106515260495715
Random Forest,returns,0.05,precision,30,0.43448275862068964,0.42860011387000135,0.00410669740405717,0.4271305510773687,0.430069676662634,0.00588264475068837,0.004106697404057171,0.0044130819580556905,0.00735220754332105
Random Forest,returns,0.05,recall,30,0.3727810650887574,0.3715976331360947,0.002407326048357919,0.37073618257319046,0.3724590836989989,0.001183431952662728,0.0024073260483579192,0.0003219813897585303,0.0020448825155669256
Random Forest,returns,0.05,f1_score,30,0.4012738853503185,0.39806009866173214,0.0026164098293094515,0.397123828428714,0.39899636889475026,0.003213786688586347,0.0026164098293094506,0.0022775164555682093,0.004150056921604485
Random Forest,returns,0.05,roc_auc,30,0.7915362662160299,0.7909460818599997,0.0014034122658807937,0.7904438772304049,0.7914482864895945,0.0005901843560302063,0.0014034122658807937,8.79797264353386e-05,0.0010923889856250739
Random Forest,returns,0.05,average_precision,30,0.3998756330234307,0.39852163632895093,0.0014494805577052157,0.39800294637284567,0.3990403262850562,0.0013539966944797976,0.001449480557705216,0.0008353067383745249,0.0018726866505850703
Logistic Regression,returns,0.1,accuracy,30,0.848644578313253,0.8489206827309235,0.0006701189658616228,0.848680883738698,0.849160481723149,-0.0002761044176706862,0.0006701189658616227,-0.0005159034098961236,-3.630542544524873e-05
