model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,7915916494138724791,0.6927710843373494,0.6920180722891566,0.0007530120481927804,0.6536102508046395,0.6531092488006316,0.0005010020040079333,0.4148471615720524,0.4139433551198257,0.0009038064522267075,0.5757575757575758,0.5757575757575758,0.0,0.48223350253807107,0.4816223067173637,0.0006111958207073442,0.7425669520859902,0.7424697880609703,9.71640250199135e-05,0.46684040472936406,0.46682246977591063,1.793495345342455e-05
Random Forest,returns,0.05,0,7915916494138724791,0.7033132530120482,0.704066265060241,-0.0007530120481927804,0.6200582984150118,0.6205593004190199,-0.0005010020040080443,0.41208791208791207,0.4132231404958678,-0.001135228407955713,0.45454545454545453,0.45454545454545453,0.0,0.4322766570605187,0.4329004329004329,-0.0006237758399141868,0.7141100382583349,0.7142132750349184,-0.00010323677658352626,0.4534410905413171,0.45341079066997975,3.0299871337347017e-05
Logistic Regression,returns,0.05,1,8848851816731352681,0.6927710843373494,0.6935240963855421,-0.0007530120481927804,0.6536102508046395,0.655125402319791,-0.0015151515151514694,0.4148471615720524,0.41612200435729846,-0.0012748427852460331,0.5757575757575758,0.5787878787878787,-0.003030303030302939,0.48223350253807107,0.4841571609632446,-0.0019236584251735578,0.7425669520859902,0.7425882067164633,-2.125463047308873e-05,0.46684040472936406,0.46692491092561617,-8.450619625210987e-05
Random Forest,returns,0.05,1,8848851816731352681,0.7033132530120482,0.7048192771084337,-0.001506024096385561,0.6200582984150118,0.6190320034007408,0.0010262950142709837,0.41208791208791207,0.4134078212290503,-0.0013199091411382202,0.45454545454545453,0.4484848484848485,0.006060606060606044,0.4322766570605187,0.43023255813953487,0.002044098920983839,0.7141100382583349,0.7145442399951417,-0.0004342017368068607,0.4534410905413171,0.45369381946588444,-0.00025272892456734697
Logistic Regression,returns,0.05,2,14278170555882432137,0.6927710843373494,0.6935240963855421,-0.0007530120481927804,0.6536102508046395,0.655125402319791,-0.0015151515151514694,0.4148471615720524,0.41612200435729846,-0.0012748427852460331,0.5757575757575758,0.5787878787878787,-0.003030303030302939,0.48223350253807107,0.4841571609632446,-0.0019236584251735578,0.7425669520859902,0.7426155340984999,-4.8582012509679195e-05,0.46684040472936406,0.46684902774801296,-8.623018648901137e-06
Random Forest,returns,0.05,2,14278170555882432137,0.7033132530120482,0.7010542168674698,0.0022590361445783413,0.6200582984150118,0.6185552924029878,0.0015030060120240218,0.41208791208791207,0.4087193460490463,0.0033685660388657612,0.45454545454545453,0.45454545454545453,0.0,0.4322766570605187,0.430416068866571,0.0018605881939476876,0.7141100382583349,0.7139066010809498,0.0002034371773850241,0.4534410905413171,0.45234850711998525,0.0010925834213318386
Logistic Regression,returns,0.05,3,4350981174299996293,0.6927710843373494,0.6927710843373494,0.0,0.6536102508046395,0.6536102508046395,0.0,0.4148471615720524,0.4148471615720524,0.0,0.5757575757575758,0.5757575757575758,0.0,0.48223350253807107,0.48223350253807107,0.0,0.7425669520859902,0.742548733831299,1.821825469117133e-05,0.46684040472936406,0.4668372775026737,3.127226690380347e-06
Random Forest,returns,0.05,3,4350981174299996293,0.7033132530120482,0.7025602409638554,0.0007530120481927804,0.6200582984150118,0.6185431468998603,0.0015151515151514694,0.41208791208791207,0.41046831955922863,0.0016195925286834334,0.45454545454545453,0.45151515151515154,0.0030303030303029943,0.4322766570605187,0.43001443001443,0.002262227046088694,0.7141100382583349,0.7143954575818303,-0.0002854193234954616,0.4534410905413171,0.45260205813489746,0.0008390324064196375
Logistic Regression,returns,0.05,4,12873192976150503279,0.6927710843373494,0.6927710843373494,0.0,0.6536102508046395,0.6536102508046395,0.0,0.4148471615720524,0.4148471615720524,0.0,0.5757575757575758,0.5757575757575758,0.0,0.48223350253807107,0.48223350253807107,0.0,0.7425669520859902,0.742506224570353,6.072751563723777e-05,0.46684040472936406,0.4667927178293111,4.768690005296783e-05
Random Forest,returns,0.05,4,12873192976150503279,0.7033132530120482,0.7063253012048193,-0.003012048192771122,0.6200582984150118,0.624090605453331,-0.004032307038319138,0.41208791208791207,0.4175824175824176,-0.0054945054945055305,0.45454545454545453,0.46060606060606063,-0.0060606060606061,0.4322766570605187,0.43804034582132567,-0.005763688760806962,0.7141100382583349,0.7129167425760612,0.0011932956822736651,0.4534410905413171,0.452071414972882,0.0013696755684350914
Logistic Regression,returns,0.05,5,6319748832246931549,0.6927710843373494,0.6927710843373494,0.0,0.6536102508046395,0.6536102508046395,0.0,0.4148471615720524,0.4148471615720524,0.0,0.5757575757575758,0.5757575757575758,0.0,0.48223350253807107,0.48223350253807107,0.0,0.7425669520859902,0.7425639157102083,3.0363757819173998e-06,0.46684040472936406,0.4669378690731416,-9.746434377755353e-05
