model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.05,accuracy,30,0.6927710843373494,0.6928965863453814,0.0004458535390939513,0.692737039705454,0.6930561329853089,-0.00012550200803213007,0.0004458535390939512,-0.00028504864795957216,3.404463189531201e-05
Logistic Regression,returns,0.05,balanced_accuracy,30,0.6536102508046395,0.6539979959919839,0.0007342974887294516,0.6537352310102995,0.6542607609736684,-0.00038774518734438306,0.0007342974887294515,-0.0006505101690287736,-0.00012498020565999258
Logistic Regression,returns,0.05,precision,30,0.4148471615720524,0.41510907999397173,0.0006830818497041751,0.4148646422933376,0.4153535176946059,-0.0002619184219194511,0.000683081849704175,-0.0005063561225536002,-1.7480721285302104e-05
Logistic Regression,returns,0.05,recall,30,0.5757575757575758,0.5766666666666665,0.0014123987869678334,0.5761612462518007,0.5771720870815324,-0.0009090909090908817,0.0014123987869678332,-0.0014145113239568225,-0.00040367049422494067
Logistic Regression,returns,0.05,f1_score,30,0.48223350253807107,0.4827290519113598,0.0009298776224323031,0.4823962994776698,0.48306180434504975,-0.0004955493732887913,0.0009298776224323029,-0.0008283018069787482,-0.0001627969395988345
Logistic Regression,returns,0.05,roc_auc,30,0.7425669520859902,0.7425776806137528,4.104616648149222e-05,0.7425629924317159,0.7425923687957898,-1.0728527762530563e-05,4.104616648149223e-05,-2.5416709799467387e-05,3.9596542744062585e-06
Logistic Regression,returns,0.05,average_precision,30,0.46684040472936406,0.4668783240985278,5.6370308995952744e-05,0.4668581522425182,0.4668984959545374,-3.791936916370623e-05,5.637030899595275e-05,-5.8091225173311105e-05,-1.7747513154101353e-05
Random Forest,returns,0.05,accuracy,30,0.7033132530120482,0.703940763052209,0.0017135220457075067,0.7033275870630943,0.7045539390413237,-0.0006275100401606504,0.0017135220457075069,-0.001240686029275365,-1.4334051045935777e-05
Random Forest,returns,0.05,balanced_accuracy,30,0.6200582984150118,0.6206110200198377,0.0020989532747905516,0.6198599192367463,0.6213621208029291,-0.0005527216048258454,0.002098953274790551,-0.0013038223879172331,0.00019837917826554246
Random Forest,returns,0.05,precision,30,0.41208791208791207,0.413101628825296,0.0029620103555495613,0.4120416870322611,0.4141615706183309,-0.0010137167373839794,0.0029620103555495613,-0.0020736585304189288,4.622505565096994e-05
Random Forest,returns,0.05,recall,30,0.45454545454545453,0.45494949494949494,0.0036235697377536755,0.4536528171719086,0.4562461727270813,-0.00040404040404042513,0.0036235697377536755,-0.001700718181626793,0.0008926373735459428
Random Forest,returns,0.05,f1_score,30,0.4322766570605187,0.43301331569304125,0.003023977867951042,0.43193119911048145,0.43409543227560105,-0.0007366586325225096,0.003023977867951042,-0.00181877521508231,0.0003454579500372909
