model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,16120295443214530689,0.848644578313253,0.8471385542168675,0.001506024096385561,0.6827353045846292,0.6818739781419074,0.0008613264427217437,0.4095744680851064,0.4052631578947368,0.004311310190369566,0.46107784431137727,0.46107784431137727,0.0,0.43380281690140843,0.43137254901960786,0.002430267881800563,0.802286899070077,0.8016525089356171,0.0006343901344598724,0.3884203679084427,0.38926421370514835,-0.0008438457967056556
Random Forest,returns,0.05,0,16120295443214530689,0.8524096385542169,0.8539156626506024,-0.0015060240963854499,0.6336216455976935,0.6344829720404153,-0.0008613264427217437,0.3986013986013986,0.40425531914893614,-0.00565392054753755,0.3413173652694611,0.3413173652694611,0.0,0.36774193548387096,0.37012987012987014,-0.002387934645999179,0.7735124067111256,0.7730636917379711,0.00044871497315457365,0.3864464632234789,0.3867887026264677,-0.0003422394029887754
Logistic Regression,returns,0.05,1,11719706453875934965,0.848644578313253,0.848644578313253,0.0,0.6827353045846292,0.6827353045846292,0.0,0.4095744680851064,0.4095744680851064,0.0,0.46107784431137727,0.46107784431137727,0.0,0.43380281690140843,0.43380281690140843,0.0,0.802286899070077,0.8014204149839855,0.000866484086091468,0.3884203679084427,0.3882532594266477,0.0001671084817950197
Random Forest,returns,0.05,1,11719706453875934965,0.8524096385542169,0.8539156626506024,-0.0015060240963854499,0.6336216455976935,0.6344829720404153,-0.0008613264427217437,0.3986013986013986,0.40425531914893614,-0.00565392054753755,0.3413173652694611,0.3413173652694611,0.0,0.36774193548387096,0.37012987012987014,-0.002387934645999179,0.7735124067111256,0.7705725499904583,0.002939856720667322,0.3864464632234789,0.3833329259713675,0.0031135372521114424
Logistic Regression,returns,0.05,2,12739064544286042710,0.848644578313253,0.8493975903614458,-0.0007530120481927804,0.6827353045846292,0.6831659678059901,-0.0004306632213609829,0.4095744680851064,0.4117647058823529,-0.0021902377972465303,0.46107784431137727,0.46107784431137727,0.0,0.43380281690140843,0.4350282485875706,-0.0012254316861621817,0.802286899070077,0.8021424850557283,0.00014441401434872603,0.3884203679084427,0.3890681605393291,-0.0006477926308863791
Random Forest,returns,0.05,2,12739064544286042710,0.8524096385542169,0.8539156626506024,-0.0015060240963854499,0.6336216455976935,0.6370463207951023,-0.003424675197408744,0.3986013986013986,0.40559440559440557,-0.006993006993006978,0.3413173652694611,0.3473053892215569,-0.0059880239520958,0.36774193548387096,0.3741935483870968,-0.006451612903225823,0.7735124067111256,0.7740333286914542,-0.0005209219803286036,0.3864464632234789,0.3875400541845132,-0.0010935909610342853
Logistic Regression,returns,0.05,3,11945451720616435153,0.848644578313253,0.848644578313253,0.0,0.6827353045846292,0.6801719558299422,0.0025633487546870004,0.4095744680851064,0.40860215053763443,0.000972317547471957,0.46107784431137727,0.4550898203592814,0.005988023952095856,0.43380281690140843,0.43059490084985835,0.003207916051550075,0.802286899070077,0.8025499388819262,-0.0002630398118491639,0.3884203679084427,0.3885698134706213,-0.00014944556217860727
Random Forest,returns,0.05,3,11945451720616435153,0.8524096385542169,0.8546686746987951,-0.0022590361445782303,0.6336216455976935,0.6349136352617761,-0.0012919896640826156,0.3986013986013986,0.40714285714285714,-0.008541458541458546,0.3413173652694611,0.3413173652694611,0.0,0.36774193548387096,0.3713355048859935,-0.0035935694021225206,0.7735124067111256,0.772305518162641,0.0012068885484846081,0.3864464632234789,0.38336396644483406,0.003082496778644861
Logistic Regression,returns,0.05,4,9509893655632201310,0.848644578313253,0.8471385542168675,0.001506024096385561,0.6827353045846292,0.6767472806325334,0.0059880239520957446,0.4095744680851064,0.4032258064516129,0.006348661633493513,0.46107784431137727,0.4491017964071856,0.011976047904191656,0.43380281690140843,0.42492917847025496,0.008873638431153463,0.802286899070077,0.8024364707277951,-0.0001495716577181172,0.3884203679084427,0.3886707929644195,-0.00025042505597677733
Random Forest,returns,0.05,4,9509893655632201310,0.8524096385542169,0.8546686746987951,-0.0022590361445782303,0.6336216455976935,0.6400403327711501,-0.0064186871734566164,0.3986013986013986,0.4097222222222222,-0.011120823620823617,0.3413173652694611,0.3532934131736527,-0.0119760479041916,0.36774193548387096,0.37942122186495175,-0.011679286381080789,0.7735124067111256,0.7727284449189478,0.0007839617921778785,0.3864464632234789,0.3859289189963062,0.000517544227172706
Logistic Regression,returns,0.05,5,6291224483020896536,0.848644578313253,0.8463855421686747,0.0022590361445783413,0.6827353045846292,0.6814433149205466,0.0012919896640826156,0.4095744680851064,0.4031413612565445,0.0064331068285619075,0.46107784431137727,0.46107784431137727,0.0,0.43380281690140843,0.4301675977653631,0.003635219136045309,0.802286899070077,0.8017505041596393,0.0005363949104376653,0.3884203679084427,0.38876130271194975,-0.00034093480350705363
Random Forest,returns,0.05,5,6291224483020896536,0.8524096385542169,0.8561746987951807,-0.003765060240963791,0.6336216455976935,0.643465007968559,-0.009843362370865472,0.3986013986013986,0.4166666666666667,-0.018065268065268092,0.3413173652694611,0.3592814371257485,-0.0179640718562874,0.36774193548387096,0.3858520900321543,-0.018110154548283353,0.7735124067111256,0.7748791822040674,-0.0013667754929417297,0.3864464632234789,0.387447429391188,-0.0010009661677090609
Logistic Regression,returns,0.05,6,5546666734333797435,0.848644578313253,0.8471385542168675,0.001506024096385561,0.6827353045846292,0.6793106293872204,0.003424675197408744,0.4095744680851064,0.40425531914893614,0.005319148936170248,0.46107784431137727,0.4550898203592814,0.005988023952095856,0.43380281690140843,0.428169014084507,0.005633802816901401,0.802286899070077,0.8024055248675774,-0.00011862579750043789,0.3884203679084427,0.38872638359651934,-0.00030601568807664403
Random Forest,returns,0.05,6,5546666734333797435,0.8524096385542169,0.8546686746987951,-0.0022590361445782303,0.6336216455976935,0.6349136352617761,-0.0012919896640826156,0.3986013986013986,0.40714285714285714,-0.008541458541458546,0.3413173652694611,0.3413173652694611,0.0,0.36774193548387096,0.3713355048859935,-0.0035935694021225206,0.7735124067111256,0.77320294810895,0.0003094586021756829,0.3864464632234789,0.38383563883267785,0.0026108243908010698
