model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.05,accuracy,30,0.848644578313253,0.8477158634538153,0.0009623639313594908,0.8473714859437752,0.8480602409638555,0.0009287148594377626,0.0009623639313594905,0.0005843373493975976,0.0012730923694779274
Logistic Regression,returns,0.05,balanced_accuracy,30,0.6827353045846292,0.6811788137764091,0.0020175052960193372,0.6804568587782054,0.6819007687746128,0.001556490808219868,0.0020175052960193372,0.000834535810016128,0.002278445806423608
Logistic Regression,returns,0.05,precision,30,0.4095744680851064,0.4065172323505311,0.003098482913400007,0.40540845447986495,0.40762601022119727,0.003057235734575144,0.0030984829134000076,0.0019484578639089839,0.004166013605241304
Logistic Regression,returns,0.05,recall,30,0.46107784431137727,0.458682634730539,0.004039908189600051,0.4572369721513524,0.4601282973097256,0.0023952095808383402,0.004039908189600052,0.0009495470016517202,0.0038408721600249602
Logistic Regression,returns,0.05,f1_score,30,0.43380281690140843,0.4310213566439371,0.0031370432933011004,0.4298987801185377,0.43214393316933647,0.002781460257471302,0.003137043293301101,0.0016588837320719143,0.0039040367828706898
Logistic Regression,returns,0.05,roc_auc,30,0.802286899070077,0.8021230579323696,0.00043264177238444513,0.801968239062441,0.8022778768022982,0.00016384113770743594,0.00043264177238444513,9.022267778838135e-06,0.00031866000763603375
Logistic Regression,returns,0.05,average_precision,30,0.3884203679084427,0.3884241650247502,0.0005098153113011051,0.3882417299585916,0.3886066000909088,-3.7971163075227002e-06,0.0005098153113011051,-0.00018623218246613003,0.0001786379498510846
Random Forest,returns,0.05,accuracy,30,0.8524096385542169,0.8542419678714861,0.0011812739649593286,0.8538192544119809,0.8546646813309913,-0.0018323293172689992,0.0011812739649593284,-0.00225504277677417,-0.0014096158577638288
Random Forest,returns,0.05,balanced_accuracy,30,0.6336216455976935,0.637574721358317,0.0024547516826366592,0.6366962997501432,0.6384531429664909,-0.003953075760623429,0.0024547516826366592,-0.004831497368797285,-0.0030746541524495734
Random Forest,returns,0.05,precision,30,0.3986013986013986,0.4070257061634194,0.004856139600474638,0.40528795892505765,0.4087634534017811,-0.008424307562020781,0.004856139600474638,-0.010162054800382516,-0.006686560323659046
Random Forest,returns,0.05,recall,30,0.3413173652694611,0.34810379241516964,0.005151893019785343,0.3462602111749203,0.349947373655419,-0.006786427145708571,0.005151893019785343,-0.008630008385957934,-0.004942845905459209
Random Forest,returns,0.05,f1_score,30,0.36774193548387096,0.37524779025133553,0.004338499657362359,0.3736952780876659,0.3768003024150052,-0.007505854767464498,0.004338499657362359,-0.009058366931134152,-0.0059533426037948435
Random Forest,returns,0.05,roc_auc,30,0.7735124067111256,0.7735514328792891,0.001384116364211647,0.7730561331994271,0.774046732559151,-3.9026168163140235e-05,0.001384116364211647,-0.0005343258480251004,0.0004562735116988199
Random Forest,returns,0.05,average_precision,30,0.3864464632234789,0.38530074678261267,0.0014452738421410652,0.38478356218033893,0.3858179313848864,0.0011457164408662697,0.0014452738421410652,0.0006285318385925594,0.00166290104313998
Logistic Regression,returns,0.1,accuracy,30,0.848644578313253,0.846812248995984,0.0013218759636299388,0.846339221757428,0.8472852762345399,0.0018323293172690955,0.0013218759636299386,0.0013593020787131516,0.0023053565558250394
Logistic Regression,returns,0.1,balanced_accuracy,30,0.6827353045846292,0.6792094536164534,0.0033334836064901033,0.6780165818277725,0.6804023254051342,0.0035258509681756036,0.0033334836064901033,0.0023329791794947114,0.004718722756856496
Logistic Regression,returns,0.1,precision,30,0.4095744680851064,0.4033638128674887,0.004438278448731458,0.4017755953218873,0.4049520304130901,0.006210655217617644,0.004438278448731458,0.004622437672016264,0.0077988727632190245
Logistic Regression,returns,0.1,recall,30,0.46107784431137727,0.4552894211576847,0.006760669032187554,0.45287014681495097,0.4577086955004185,0.00578842315369264,0.006760669032187554,0.003369148810958888,0.008207697496426393
Logistic Regression,returns,0.1,f1_score,30,0.43380281690140843,0.4277442361721825,0.0050282002084531385,0.42594491783600547,0.4295435545083595,0.00605858072922598,0.0050282002084531385,0.004259262393048965,0.007857899065402995
Logistic Regression,returns,0.1,roc_auc,30,0.802286899070077,0.8018634565494336,0.0008542019966953719,0.8015577842906263,0.8021691288082409,0.0004234425206435688,0.0008542019966953719,0.00011777026183630986,0.0007291147794508278
Logistic Regression,returns,0.1,average_precision,30,0.3884203679084427,0.388496878333434,0.0010770571594514754,0.38811145837882405,0.38888229828804394,-7.651042499118855e-05,0.0010770571594514756,-0.0004619303796011429,0.00030890952961876573
Random Forest,returns,0.1,accuracy,30,0.8524096385542169,0.8548694779116467,0.0019165837026506587,0.8541836372418182,0.8555553185814752,-0.0024598393574296494,0.0019165837026506587,-0.003145680027258162,-0.0017739986876011368
Random Forest,returns,0.1,balanced_accuracy,30,0.6336216455976935,0.6387880569610135,0.003757578170037243,0.6374434248818055,0.6401326890402215,-0.005166411363319853,0.0037575781700372427,-0.006511043442527861,-0.0038217792841118443
Random Forest,returns,0.1,precision,30,0.3986013986013986,0.4098662149102743,0.008228012471672414,0.40692185846128404,0.4128105713592646,-0.011264816308875722,0.008228012471672414,-0.014209172757866016,-0.008320459859885429
Random Forest,returns,0.1,recall,30,0.3413173652694611,0.3500998003992015,0.0071603473859803085,0.3475375029943901,0.3526620978040129,-0.008782435129740505,0.007160347385980307,-0.011344732534551887,-0.0062201377249291225
Random Forest,returns,0.1,f1_score,30,0.36774193548387096,0.3776070830601937,0.006958552591271729,0.3751169969952677,0.3800971691251197,-0.009865147576322638,0.006958552591271729,-0.012355233641248665,-0.007375061511396611
Random Forest,returns,0.1,roc_auc,30,0.7735124067111256,0.773141572152852,0.002259211164073272,0.772333123820588,0.7739500204851159,0.0003708345582737175,0.0022592111640732716,-0.0004376137739901671,0.0011792828905376022
Random Forest,returns,0.1,average_precision,30,0.3864464632234789,0.3852860716077994,0.002750193643325901,0.3843019274517742,0.38627021576382453,0.0011603916156795939,0.002750193643325901,0.0001762474596544107,0.002144535771704777
Logistic Regression,returns,0.2,accuracy,30,0.848644578313253,0.8460592369477913,0.0015656474153161693,0.8454989772155653,0.8466194966800172,0.0025853413654618723,0.0015656474153161693,0.0020250816332358997,0.003145601097687845
Logistic Regression,returns,0.2,balanced_accuracy,30,0.6827353045846292,0.6789496803120717,0.0052752605374540105,0.6770619525725925,0.6808374080515509,0.003785624272557357,0.0052752605374540105,0.0018978965330781702,0.005673352012036543
