model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,17331019520222080363,0.8177710843373494,0.8177710843373494,0.0,0.6871576384662204,0.6871576384662204,0.0,0.4375,0.4375,0.0,0.49528301886792453,0.49528301886792453,0.0,0.4646017699115044,0.4646017699115044,0.0,0.7659768715763846,0.7659472847771691,2.958679921549745e-05,0.41398774616347356,0.41362627912868655,0.0003614670347870108
Random Forest,returns,0.05,0,17331019520222080363,0.8358433734939759,0.8343373493975904,0.0015060240963854499,0.640596469872185,0.6416108744167174,-0.001014404544532388,0.4807692307692308,0.475,0.005769230769230804,0.35377358490566035,0.3584905660377358,-0.004716981132075471,0.4076086956521739,0.40860215053763443,-0.000993454885460543,0.7367789274362615,0.7381568269425848,-0.0013778995063232768,0.41951651268075923,0.4188953346169941,0.0006211780637651598
Logistic Regression,returns,0.05,1,2445353019873496998,0.8177710843373494,0.8177710843373494,0.0,0.6871576384662204,0.6890681003584229,-0.001910461892202564,0.4375,0.4380165289256198,-0.0005165289256198191,0.49528301886792453,0.5,-0.004716981132075471,0.4646017699115044,0.4669603524229075,-0.0023585825114030845,0.7659768715763846,0.7662051125989044,-0.00022824102251983724,0.41398774616347356,0.41442516112189304,-0.00043741495841947975
Random Forest,returns,0.05,1,2445353019873496998,0.8358433734939759,0.8350903614457831,0.0007530120481927804,0.640596469872185,0.6420589030905525,-0.001462433218367476,0.4807692307692308,0.4779874213836478,0.0027818093855829784,0.35377358490566035,0.3584905660377358,-0.004716981132075471,0.4076086956521739,0.40970350404312667,-0.0020948083909527737,0.7367789274362615,0.7366225400689795,0.00015638736728196267,0.41951651268075923,0.4195111509666087,5.3617141505535315e-06
Logistic Regression,returns,0.05,2,13832455177947275663,0.8177710843373494,0.8177710843373494,0.0,0.6871576384662204,0.6871576384662204,0.0,0.4375,0.4375,0.0,0.49528301886792453,0.49528301886792453,0.0,0.4646017699115044,0.4646017699115044,0.0,0.7659768715763846,0.7655457496449584,0.0004311219314262482,0.41398774616347356,0.4133830995245542,0.0006046466389193483
Random Forest,returns,0.05,2,13832455177947275663,0.8358433734939759,0.8373493975903614,-0.001506024096385561,0.640596469872185,0.6453134510042604,-0.004716981132075415,0.4807692307692308,0.4873417721518987,-0.00657254138266794,0.35377358490566035,0.3632075471698113,-0.009433962264150941,0.4076086956521739,0.41621621621621624,-0.008607520564042348,0.7367789274362615,0.7337991140866977,0.0029798133495637646,0.41951651268075923,0.4174936243025542,0.0020228883782050233
Logistic Regression,returns,0.05,3,4077721513751792495,0.8177710843373494,0.8192771084337349,-0.001506024096385561,0.6871576384662204,0.6918746195982959,-0.004716981132075526,0.4375,0.44214876033057854,-0.0046487603305785385,0.49528301886792453,0.5047169811320755,-0.009433962264150997,0.4646017699115044,0.4713656387665198,-0.006763868855015398,0.7659768715763846,0.7661966592277,-0.00021978765131536182,0.41398774616347356,0.41405296400005176,-6.52178365782019e-05
Random Forest,returns,0.05,3,4077721513751792495,0.8358433734939759,0.8381024096385542,-0.0022590361445783413,0.640596469872185,0.6476719415702982,-0.007075471698113178,0.4807692307692308,0.49056603773584906,-0.009796806966618277,0.35377358490566035,0.36792452830188677,-0.014150943396226412,0.4076086956521739,0.42048517520215634,-0.012876479549982445,0.7367789274362615,0.7361491512815311,0.000629776154730366,0.41951651268075923,0.41781090640204377,0.0017056062787154658
Logistic Regression,returns,0.05,4,18377094162823869263,0.8177710843373494,0.8185240963855421,-0.0007530120481927804,0.6871576384662204,0.6876056671400554,-0.00044802867383508804,0.4375,0.4393305439330544,-0.0018305439330543738,0.49528301886792453,0.49528301886792453,0.0,0.4646017699115044,0.4656319290465632,-0.0010301591350587724,0.7659768715763846,0.7666362345303307,-0.0006593629539460855,0.41398774616347356,0.41362279235825916,0.00036495380521439635
Random Forest,returns,0.05,4,18377094162823869263,0.8358433734939759,0.8350903614457831,0.0007530120481927804,0.640596469872185,0.6439693649827551,-0.003372895110570151,0.4807692307692308,0.4782608695652174,0.0025083612040133763,0.35377358490566035,0.3632075471698113,-0.009433962264150941,0.4076086956521739,0.4128686327077748,-0.005259937055600905,0.7367789274362615,0.736440792588084,0.00033813484817746264,0.41951651268075923,0.4196296052415209,-0.00011309256076164065
Logistic Regression,returns,0.05,5,8264649647756461580,0.8177710843373494,0.8185240963855421,-0.0007530120481927804,0.6871576384662204,0.689516129032258,-0.002358490566037652,0.4375,0.43983402489626555,-0.002334024896265552,0.49528301886792453,0.5,-0.004716981132075471,0.4646017699115044,0.46799116997792495,-0.0033894000664205226,0.7659768715763846,0.7658627510651248,0.0001141205112598076,0.41398774616347356,0.41407033126001846,-8.258509654490709e-05
Random Forest,returns,0.05,5,8264649647756461580,0.8358433734939759,0.8358433734939759,0.0,0.640596469872185,0.6444173936565902,-0.003820923784405239,0.4807692307692308,0.48125,-0.00048076923076922906,0.35377358490566035,0.3632075471698113,-0.009433962264150941,0.4076086956521739,0.41397849462365593,-0.0063697989714820435,0.7367789274362615,0.7365591397849462,0.0002197876513152508,0.41951651268075923,0.419236013682991,0.0002804989977682193
Logistic Regression,returns,0.05,6,15028845069679040411,0.8177710843373494,0.8170180722891566,0.0007530120481927804,0.6871576384662204,0.6847991479001826,0.002358490566037763,0.4375,0.4351464435146444,0.0023535564853556235,0.49528301886792453,0.49056603773584906,0.004716981132075471,0.4646017699115044,0.4611973392461197,0.0034044306653847056,0.7659768715763846,0.7657613106106715,0.0002155609657130686,0.41398774616347356,0.41329514551407354,0.0006926006494000214
Random Forest,returns,0.05,6,15028845069679040411,0.8358433734939759,0.8373493975903614,-0.001506024096385561,0.640596469872185,0.6472239128964631,-0.00662744302427809,0.4807692307692308,0.4875,-0.006730769230769207,0.35377358490566035,0.36792452830188677,-0.014150943396226412,0.4076086956521739,0.41935483870967744,-0.011746143057503544,0.7367789274362615,0.7356884425508894,0.0010904848853721116,0.41951651268075923,0.41961777799598987,-0.00010126531523063642
Logistic Regression,returns,0.05,7,17514109170717328377,0.8177710843373494,0.8185240963855421,-0.0007530120481927804,0.6871576384662204,0.6876056671400554,-0.00044802867383508804,0.4375,0.4393305439330544,-0.0018305439330543738,0.49528301886792453,0.49528301886792453,0.0,0.4646017699115044,0.4656319290465632,-0.0010301591350587724,0.7659768715763846,0.7653217353080408,0.0006551362683437922,0.41398774616347356,0.4124778079349612,0.0015099382285123641
Random Forest,returns,0.05,7,17514109170717328377,0.8358433734939759,0.8365963855421686,-0.0007530120481927804,0.640596469872185,0.646775884222628,-0.006179414350443002,0.4807692307692308,0.484472049689441,-0.003702818920210238,0.35377358490566035,0.36792452830188677,-0.014150943396226412,0.4076086956521739,0.41823056300268097,-0.010621867350507075,0.7367789274362615,0.7358617366605802,0.0009171907756813091,0.41951651268075923,0.41816947078588534,0.0013470418948738905
Logistic Regression,returns,0.05,8,1349161946603608900,0.8177710843373494,0.8207831325301205,-0.003012048192771122,0.6871576384662204,0.6927706769459661,-0.005613038479745702,0.4375,0.44583333333333336,-0.00833333333333336,0.49528301886792453,0.5047169811320755,-0.009433962264150997,0.4646017699115044,0.47345132743362833,-0.008849557522123908,0.7659768715763846,0.7666531412727395,-0.0006762696963549253,0.41398774616347356,0.4138097638757827,0.00017798228769083657
Random Forest,returns,0.05,8,1349161946603608900,0.8358433734939759,0.8381024096385542,-0.0022590361445783413,0.640596469872185,0.6457614796780956,-0.005165009805910614,0.4807692307692308,0.49044585987261147,-0.009676629103380685,0.35377358490566035,0.3632075471698113,-0.009433962264150941,0.4076086956521739,0.4173441734417344,-0.00973547778956052,0.7367789274362615,0.7373157165077433,-0.0005367890714818024,0.41951651268075923,0.4192435514513613,0.0002729612293979611
Logistic Regression,returns,0.05,9,10390158582389428865,0.8177710843373494,0.8177710843373494,0.0,0.6871576384662204,0.6871576384662204,0.0,0.4375,0.4375,0.0,0.49528301886792453,0.49528301886792453,0.0,0.4646017699115044,0.4646017699115044,0.0,0.7659768715763846,0.7662389260837222,-0.0002620545073376279,0.41398774616347356,0.41324194121926844,0.0007458049442051196
Random Forest,returns,0.05,9,10390158582389428865,0.8358433734939759,0.8365963855421686,-0.0007530120481927804,0.640596469872185,0.646775884222628,-0.006179414350443002,0.4807692307692308,0.484472049689441,-0.003702818920210238,0.35377358490566035,0.36792452830188677,-0.014150943396226412,0.4076086956521739,0.41823056300268097,-0.010621867350507075,0.7367789274362615,0.7347839318320146,0.001994995604246874,0.41951651268075923,0.41953574004899286,-1.9227368233620812e-05
Logistic Regression,returns,0.05,10,13079105244768053654,0.8177710843373494,0.8170180722891566,0.0007530120481927804,0.6871576384662204,0.6847991479001826,0.002358490566037763,0.4375,0.4351464435146444,0.0023535564853556235,0.49528301886792453,0.49056603773584906,0.004716981132075471,0.4646017699115044,0.4611973392461197,0.0034044306653847056,0.7659768715763846,0.7658458443227159,0.00013102725366875845,0.41398774616347356,0.4127206657361751,0.0012670804272984504
Random Forest,returns,0.05,10,13079105244768053654,0.8358433734939759,0.8365963855421686,-0.0007530120481927804,0.640596469872185,0.646775884222628,-0.006179414350443002,0.4807692307692308,0.484472049689441,-0.003702818920210238,0.35377358490566035,0.36792452830188677,-0.014150943396226412,0.4076086956521739,0.41823056300268097,-0.010621867350507075,0.7367789274362615,0.7376707580983295,-0.0008918306620679939,0.41951651268075923,0.42036267387684806,-0.0008461611960888238
Logistic Regression,returns,0.05,11,8835039200044419715,0.8177710843373494,0.8185240963855421,-0.0007530120481927804,0.6871576384662204,0.6876056671400554,-0.00044802867383508804,0.4375,0.4393305439330544,-0.0018305439330543738,0.49528301886792453,0.49528301886792453,0.0,0.4646017699115044,0.4656319290465632,-0.0010301591350587724,0.7659768715763846,0.76615861905728,-0.00018174748089538895,0.41398774616347356,0.41384761859483277,0.000140127568640791
Random Forest,returns,0.05,11,8835039200044419715,0.8358433734939759,0.8365963855421686,-0.0007530120481927804,0.640596469872185,0.646775884222628,-0.006179414350443002,0.4807692307692308,0.484472049689441,-0.003702818920210238,0.35377358490566035,0.36792452830188677,-0.014150943396226412,0.4076086956521739,0.41823056300268097,-0.010621867350507075,0.7367789274362615,0.7374974639886387,-0.0007185365523771914,0.41951651268075923,0.41905666301650035,0.0004598496642588823
Logistic Regression,returns,0.05,12,5447030371921959777,0.8177710843373494,0.8177710843373494,0.0,0.6871576384662204,0.6871576384662204,0.0,0.4375,0.4375,0.0,0.49528301886792453,0.49528301886792453,0.0,0.4646017699115044,0.4646017699115044,0.0,0.7659768715763846,0.7661501656860756,-0.00017329410969102454,0.41398774616347356,0.4141807665800489,-0.000193020416575318
Random Forest,returns,0.05,12,5447030371921959777,0.8358433734939759,0.8365963855421686,-0.0007530120481927804,0.640596469872185,0.6448654223304253,-0.004268952458240327,0.4807692307692308,0.48427672955974843,-0.003507498790517649,0.35377358490566035,0.3632075471698113,-0.009433962264150941,0.4076086956521739,0.41509433962264153,-0.007485643970467637,0.7367789274362615,0.736647900182593,0.0001310272536685364,0.41951651268075923,0.4192305071048564,0.000286005575902859
Logistic Regression,returns,0.05,13,15222829690421852727,0.8177710843373494,0.8185240963855421,-0.0007530120481927804,0.6871576384662204,0.6856952052478529,0.001462433218367476,0.4375,0.4388185654008439,-0.0013185654008439074,0.49528301886792453,0.49056603773584906,0.004716981132075471,0.4646017699115044,0.46325167037861914,0.001350099532885285,0.7659768715763846,0.7660402718604178,-6.34002840331771e-05,0.41398774616347356,0.41476916893791715,-0.0007814227744435964
