model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.05,accuracy,30,0.8177710843373494,0.8180471887550198,0.0010553908631143873,0.8176695219849809,0.8184248555250587,-0.0002761044176706862,0.0010553908631143873,-0.0006537711877095827,0.00010156235236821043
Logistic Regression,returns,0.05,balanced_accuracy,30,0.6871576384662204,0.687258233583553,0.0024272546604816063,0.6863896516583875,0.6881268155087185,-0.00010059511733277645,0.0024272546604816063,-0.0009691770424982515,0.0007679868078326988
Logistic Regression,returns,0.05,precision,30,0.4375,0.4381488734747913,0.0029798076938700752,0.4370825629860307,0.4392151839635519,-0.000648873474791232,0.002979807693870075,-0.001715183963551823,0.000417437013969359
Logistic Regression,returns,0.05,recall,30,0.49528301886792453,0.49512578616352204,0.004714269443934114,0.49343880650867666,0.4968127658183674,0.00015723270440251013,0.004714269443934114,-0.0015297469504428562,0.0018442123592478763
Logistic Regression,returns,0.05,f1_score,30,0.4646017699115044,0.46489490406188033,0.003598875365239973,0.4636070630520085,0.46618274507175217,-0.00029313415037595845,0.003598875365239973,-0.0015809751602477884,0.0009947068594958715
Logistic Regression,returns,0.05,roc_auc,30,0.7659768715763846,0.7659656004147788,0.00029465231789559235,0.7658601604369721,0.7660710403925854,1.1271161605896917e-05,0.00029465231789559235,-9.416881620073448e-05,0.0001167111394125283
Logistic Regression,returns,0.05,average_precision,30,0.41398774616347356,0.41369782488820295,0.000531835251524245,0.4135075100876339,0.41388813968877197,0.0002899212752704901,0.000531835251524245,9.960647470146509e-05,0.0004802360758395151
Random Forest,returns,0.05,accuracy,30,0.8358433734939759,0.8366214859437752,0.0011779588771368887,0.8361999587732118,0.8370430131143385,-0.0007781124497992139,0.001177958877136889,-0.0011996396203624833,-0.00035658527923594456
Random Forest,returns,0.05,balanced_accuracy,30,0.640596469872185,0.6451987669349202,0.0027814321647503326,0.6442034442175681,0.6461940896522722,-0.004602297062735298,0.002781432164750332,-0.0055976197800873635,-0.003606974345383232
Random Forest,returns,0.05,precision,30,0.4807692307692308,0.48441220709582133,0.004898497274030788,0.48265930235864335,0.4861651118329993,-0.003642976326590595,0.004898497274030789,-0.005395881063768557,-0.0018900715894126323
Random Forest,returns,0.05,recall,30,0.35377358490566035,0.36399371069182374,0.005687871489997341,0.3619583320192392,0.36602908936440826,-0.010220125786163521,0.005687871489997341,-0.01225550445874807,-0.008184747113578974
Random Forest,returns,0.05,f1_score,30,0.4076086956521739,0.4156426480488457,0.005047850800087945,0.41383629783876164,0.4174489982589298,-0.008033952396671845,0.005047850800087946,-0.009840302606755908,-0.006227602186587782
Random Forest,returns,0.05,roc_auc,30,0.7367789274362615,0.7366457868397916,0.0010154508080321629,0.7362824124349089,0.7370091612446744,0.00013314059646978664,0.001015450808032163,-0.0002302338084129751,0.0004965150013525484
Random Forest,returns,0.05,average_precision,30,0.41951651268075923,0.41925975230564816,0.000769615820814649,0.41898434882114177,0.41953515579015455,0.00025676037511105737,0.000769615820814649,-1.864310939532688e-05,0.0005321638596174417
Logistic Regression,returns,0.1,accuracy,30,0.8177710843373494,0.8185993975903614,0.0018161866009520009,0.8179494835619744,0.8192493116187484,-0.0008283132530120733,0.0018161866009520009,-0.0014782272813990357,-0.00017839922462511092
Logistic Regression,returns,0.1,balanced_accuracy,30,0.6871576384662204,0.6880325623858795,0.0033597897916654977,0.6868302770497307,0.6892348477220284,-0.0008749239196591355,0.0033597897916654977,-0.0020772092558080423,0.00032736141648977114
Logistic Regression,returns,0.1,precision,30,0.4375,0.4396220587709809,0.004922394460533647,0.4378606025354387,0.44138351500652306,-0.0021220587709808486,0.004922394460533647,-0.0038835150065230466,-0.0003606025354386509
Logistic Regression,returns,0.1,recall,30,0.49528301886792453,0.4962264150943397,0.0061189238878602455,0.49403678630219466,0.4984160438864847,-0.0009433962264150997,0.006118923887860247,-0.003133025018560102,0.0012462325657299025
Logistic Regression,returns,0.1,f1_score,30,0.4646017699115044,0.4662060259905521,0.0051885645838451455,0.4643493219996378,0.4680627299814664,-0.0016042560790475835,0.0051885645838451455,-0.003460960069961919,0.00025244791186675186
Logistic Regression,returns,0.1,roc_auc,30,0.7659768715763846,0.7659085401591487,0.0005724248225703886,0.7657037005671209,0.7661133797511764,6.833141723580813e-05,0.0005724248225703886,-0.00013650817479201872,0.000273171009263635
Logistic Regression,returns,0.1,average_precision,30,0.41398774616347356,0.41365882287834027,0.0009077714434497232,0.4133339810392045,0.41398366471747605,0.0003289232851332794,0.0009077714434497233,4.081445997472803e-06,0.0006537651242690861
Random Forest,returns,0.1,accuracy,30,0.8358433734939759,0.8365963855421686,0.0020069499230306984,0.8358782077356789,0.8373145633486584,-0.0007530120481927953,0.0020069499230306984,-0.0014711898546825467,-3.4834241703043944e-05
Random Forest,returns,0.1,balanced_accuracy,30,0.640596469872185,0.6456932891503798,0.00325619534259542,0.6445280746117351,0.6468585036890245,-0.005096819278194831,0.00325619534259542,-0.006262033816839576,-0.003931604739550085
Random Forest,returns,0.1,precision,30,0.4807692307692308,0.48441198728894447,0.008222814546983656,0.4814694908934156,0.4873544836844733,-0.003642756519713667,0.008222814546983656,-0.00658525291524252,-0.0007002601241848133
Random Forest,returns,0.1,recall,30,0.35377358490566035,0.3652515723270439,0.005768237864300771,0.3631874349167597,0.36731570973732813,-0.011477987421383649,0.005768237864300772,-0.013542124831667847,-0.009413850011099451
Random Forest,returns,0.1,f1_score,30,0.4076086956521739,0.4164589119097197,0.006220867311844817,0.41423280313180966,0.4186850206876297,-0.008850216257545847,0.006220867311844817,-0.011076325035455881,-0.006624107479635813
Random Forest,returns,0.1,roc_auc,30,0.7367789274362615,0.7366501544149139,0.0016428175360621367,0.7360622797096346,0.7372380291201932,0.0001287730213475058,0.0016428175360621367,-0.00045910168393180296,0.0007166477266268145
Random Forest,returns,0.1,average_precision,30,0.41951651268075923,0.4189465354492432,0.001517252662882052,0.41840359355676493,0.4194894773417215,0.000569977231516026,0.0015172526628820522,2.7035339037775625e-05,0.0011129191239942764
