feature_name,feature_group,coefficient,absolute_coefficient
volatility_20d,Volatility and risk,1.2292723089159079,1.2292723089159079
intraday_range,Volume and range,0.7501156524057633,0.7501156524057633
downside_volatility_20d,Volatility and risk,0.6457324771763264,0.6457324771763264
price_to_ma_10,Momentum,-0.5527643572185289,0.5527643572185289
price_to_ma_50,Momentum,0.37227558893614615,0.37227558893614615
volatility_5d,Volatility and risk,0.2773873430501463,0.2773873430501463
rsi_14,Momentum,-0.11946143577986085,0.11946143577986085
return_20d,Return,0.11717374226804488,0.11717374226804488
return_5d,Return,0.09130621401225752,0.09130621401225752
volume_ratio_20d,Volume and range,0.06640360941246945,0.06640360941246945
log_return_1d,Return,0.012402166692451252,0.012402166692451252
