model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,7297709253670502967,0.7673192771084337,0.7688253012048193,-0.001506024096385561,0.7524657225074762,0.7535095638435931,-0.0010438413361169019,0.564755838641189,0.5671641791044776,-0.0024083404632886385,0.7189189189189189,0.7189189189189189,0.0,0.6325802615933412,0.634088200238379,-0.001507938645037732,0.8096259098346781,0.8097472211250917,-0.0001213112904135949,0.6323563262073739,0.6322535830084407,0.00010274319893321948
Random Forest,returns,0.05,0,7297709253670502967,0.7703313253012049,0.7703313253012049,0.0,0.7346470687806805,0.7338176380973875,0.0008294306832929976,0.5775656324582339,0.5779376498800959,-0.00037201742186199205,0.654054054054054,0.6513513513513514,0.002702702702702675,0.6134347275031685,0.6124523506988564,0.000982376804312124,0.8044715905885008,0.8056903458782373,-0.0012187552897364728,0.6370969413832709,0.6384242950033251,-0.0013273536200542058
Logistic Regression,returns,0.05,1,712267485155050767,0.7673192771084337,0.766566265060241,0.0007530120481927804,0.7524657225074762,0.7511143711561248,0.0013513513513514486,0.564755838641189,0.5638297872340425,0.000926051407146411,0.7189189189189189,0.7162162162162162,0.002702702702702675,0.6325802615933412,0.6309523809523809,0.0016278806409603108,0.8096259098346781,0.809741578739491,-0.00011566890481296,0.6323563262073739,0.6324453966720975,-8.907046472361735e-05
Random Forest,returns,0.05,1,712267485155050767,0.7703313253012049,0.766566265060241,0.0037650602409639022,0.7346470687806805,0.7303786040738024,0.004268464706878139,0.5775656324582339,0.5714285714285714,0.006137061029662494,0.654054054054054,0.6486486486486487,0.00540540540540535,0.6134347275031685,0.6075949367088608,0.005839790794307742,0.8044715905885008,0.8044208091180952,5.07814704056031e-05,0.6370969413832709,0.6367305951588189,0.0003663462244519744
Logistic Regression,returns,0.05,2,7925063009519537160,0.7673192771084337,0.7680722891566265,-0.0007530120481927804,0.7524657225074762,0.7529876431755347,-0.0005219206680584509,0.564755838641189,0.5659574468085107,-0.0012016081673217327,0.7189189189189189,0.7189189189189189,0.0,0.6325802615933412,0.6333333333333333,-0.0007530717399920617,0.8096259098346781,0.8094820290018621,0.00014388083281602349,0.6323563262073739,0.6323045264216742,5.1799785699691014e-05
Random Forest,returns,0.05,2,7925063009519537160,0.7703313253012049,0.7680722891566265,0.0022590361445783413,0.7346470687806805,0.7314224454099194,0.003224623370761126,0.5775656324582339,0.5741626794258373,0.0034029530323965718,0.654054054054054,0.6486486486486487,0.00540540540540535,0.6134347275031685,0.6091370558375635,0.0042976716656050185,0.8044715905885008,0.8037126897252158,0.0007589008632850058,0.6370969413832709,0.6361909405640688,0.000906000819202113
Logistic Regression,returns,0.05,3,5144952885998642383,0.7673192771084337,0.7673192771084337,0.0,0.7524657225074762,0.7524657225074762,0.0,0.564755838641189,0.564755838641189,0.0,0.7189189189189189,0.7189189189189189,0.0,0.6325802615933412,0.6325802615933412,0.0,0.8096259098346781,0.8097726118602944,-0.00014670202561628543,0.6323563262073739,0.6326123553150278,-0.00025602910765387676
Random Forest,returns,0.05,3,5144952885998642383,0.7703313253012049,0.7703313253012049,0.0,0.7346470687806805,0.7338176380973875,0.0008294306832929976,0.5775656324582339,0.5779376498800959,-0.00037201742186199205,0.654054054054054,0.6513513513513514,0.002702702702702675,0.6134347275031685,0.6124523506988564,0.000982376804312124,0.8044715905885008,0.8044603058172997,1.1284771201158783e-05,0.6370969413832709,0.6365769518640718,0.0005199895191990711
Logistic Regression,returns,0.05,4,1780675369296971284,0.7673192771084337,0.7680722891566265,-0.0007530120481927804,0.7524657225074762,0.7529876431755347,-0.0005219206680584509,0.564755838641189,0.5659574468085107,-0.0012016081673217327,0.7189189189189189,0.7189189189189189,0.0,0.6325802615933412,0.6333333333333333,-0.0007530717399920617,0.8096259098346781,0.809795181402697,-0.00016927156801893606,0.6323563262073739,0.6324229033177705,-6.657711039659286e-05
Random Forest,returns,0.05,4,1780675369296971284,0.7703313253012049,0.7703313253012049,0.0,0.7346470687806805,0.7346470687806805,0.0,0.5775656324582339,0.5775656324582339,0.0,0.654054054054054,0.654054054054054,0.0,0.6134347275031685,0.6134347275031685,0.0,0.8044715905885008,0.8043587428764882,0.00011284771201258703,0.6370969413832709,0.6371822760223003,-8.533463902937743e-05
