model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,2703792037600880000,0.7341867469879518,0.7341867469879518,0.0,0.6604250181115673,0.6604250181115673,0.0,0.4320652173913043,0.4320652173913043,0.0,0.5247524752475248,0.5247524752475248,0.0,0.47391952309985097,0.47391952309985097,0.0,0.72522579087177,0.7250519198261289,0.0001738710456410386,0.4965236950886517,0.4962547342431496,0.00026896084550209753
Random Forest,returns,0.05,0,2703792037600880000,0.7725903614457831,0.7725903614457831,0.0,0.6457828221846575,0.6446204620462046,0.0011623601384529447,0.5020080321285141,0.5020242914979757,-1.62593694615909e-05,0.41254125412541254,0.40924092409240925,0.0033003300330032848,0.4528985507246377,0.4509090909090909,0.001989459815546768,0.7141495612975931,0.7140336472671657,0.00011591403042743309,0.5009754151362888,0.5020730292549879,-0.0010976141186990196
Logistic Regression,returns,0.05,1,16592606893921256546,0.7341867469879518,0.7319277108433735,0.0022590361445783413,0.6604250181115673,0.6589616034774209,0.0014634146341463428,0.4320652173913043,0.42857142857142855,0.003493788819875776,0.5247524752475248,0.5247524752475248,0.0,0.47391952309985097,0.47181008902077154,0.002109434079079431,0.72522579087177,0.72509377767045,0.0001320132013199471,0.4965236950886517,0.4965431256830258,-1.9430594374092447e-05
Random Forest,returns,0.05,1,16592606893921256546,0.7725903614457831,0.7718373493975904,0.0007530120481926694,0.6457828221846575,0.6464573774450616,-0.0006745552604040528,0.5020080321285141,0.5,0.002008032128514081,0.41254125412541254,0.4158415841584158,-0.0033003300330032848,0.4528985507246377,0.4540540540540541,-0.0011555033294163852,0.7141495612975931,0.7145230620623038,-0.00037350076471065474,0.5009754151362888,0.5000106432847795,0.0009647718515093384
Logistic Regression,returns,0.05,2,14274014352298875691,0.7341867469879518,0.7326807228915663,0.001506024096385561,0.6604250181115673,0.6594494083554697,0.0009756097560975618,0.4320652173913043,0.4297297297297297,0.002335487661574598,0.5247524752475248,0.5247524752475248,0.0,0.47391952309985097,0.4725111441307578,0.0014083789690931825,0.72522579087177,0.7251034371729856,0.00012235369878432767,0.4965236950886517,0.4968760926071456,-0.00035239751849391876
Random Forest,returns,0.05,2,14274014352298875691,0.7725903614457831,0.7695783132530121,0.0030120481927710108,0.6457828221846575,0.6438316026724624,0.0019512195121951237,0.5020080321285141,0.49407114624505927,0.007936885883454814,0.41254125412541254,0.41254125412541254,0.0,0.4528985507246377,0.44964028776978415,0.0032582629548535413,0.7141495612975931,0.7147581099573371,-0.0006085486597440237,0.5009754151362888,0.5020646381320448,-0.0010892229957559785
Logistic Regression,returns,0.05,3,11866293421763943639,0.7341867469879518,0.7364457831325302,-0.0022590361445783413,0.6604250181115673,0.6618884327457136,-0.0014634146341463428,0.4320652173913043,0.43561643835616437,-0.003551220964860047,0.5247524752475248,0.5247524752475248,0.0,0.47391952309985097,0.47604790419161674,-0.002128381091765774,0.72522579087177,0.7252998470578765,-7.405618610656362e-05,0.4965236950886517,0.49701277635168595,-0.0004890812630342634
Random Forest,returns,0.05,3,11866293421763943639,0.7725903614457831,0.7703313253012049,0.0022590361445782303,0.6457828221846575,0.645481767688964,0.00030105449569350906,0.5020080321285141,0.49606299212598426,0.005945040002529822,0.41254125412541254,0.4158415841584158,-0.0033003300330032848,0.4528985507246377,0.4524236983842011,0.0004748523404365934,0.7141495612975931,0.7142719149963777,-0.00012235369878454971,0.5009754151362888,0.5003728502631538,0.0006025648731350364
Logistic Regression,returns,0.05,4,5657235922222005054,0.7341867469879518,0.7349397590361446,-0.0007530120481927804,0.6604250181115673,0.6609128229896161,-0.0004878048780487809,0.4320652173913043,0.4332425068119891,-0.0011772894206847906,0.5247524752475248,0.5247524752475248,0.0,0.47391952309985097,0.4746268656716418,-0.0007073425717908366,0.72522579087177,0.7247943330918458,0.00043145777992414924,0.4965236950886517,0.4966076651756064,-8.397008695470998e-05
Random Forest,returns,0.05,4,5657235922222005054,0.7725903614457831,0.7725903614457831,0.0,0.6457828221846575,0.6469451823231104,-0.0011623601384528337,0.5020080321285141,0.50199203187251,1.6000256004122804e-05,0.41254125412541254,0.4158415841584158,-0.0033003300330032848,0.4528985507246377,0.4548736462093863,-0.0019750954847486124,0.7141495612975931,0.7159397891008614,-0.0017902278032683183,0.5009754151362888,0.5026098511516895,-0.0016344360154006976
