model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.05,accuracy,30,0.7341867469879518,0.7347138554216869,0.0012838571773101037,0.7342544330310902,0.7351732778122836,-0.0005271084337349426,0.0012838571773101037,-0.0009865308243316763,-6.768604313820895e-05
Logistic Regression,returns,0.05,balanced_accuracy,30,0.6604250181115673,0.6609989535538918,0.0009526347431267882,0.6606580575891476,0.661339849518636,-0.0005739354423247133,0.0009526347431267883,-0.0009148314070688519,-0.0002330394775805748
Logistic Regression,returns,0.05,precision,30,0.4320652173913043,0.4329703724127623,0.002010309557010886,0.43225099237669284,0.4336897524488318,-0.000905155021457967,0.002010309557010886,-0.0016245350575274458,-0.00018577498538848813
Logistic Regression,returns,0.05,recall,30,0.5247524752475248,0.5254125412541253,0.0013427000071698928,0.5249320622272909,0.5258930202809596,-0.0006600660066006459,0.0013427000071698923,-0.0011405450334349874,-0.0001795869797663043
Logistic Regression,returns,0.05,f1_score,30,0.47391952309985097,0.4747301133839333,0.001357499411040038,0.47424433845843855,0.475215888309428,-0.0008105902840822409,0.001357499411040038,-0.0012963652095769572,-0.0003248153585875248
Logistic Regression,returns,0.05,roc_auc,30,0.72522579087177,0.7251549545198422,0.00025665936258073297,0.7250631101464884,0.7252467988931961,7.083635192774255e-05,0.000256659362580733,-2.10080214260958e-05,0.0001626807252815809
Logistic Regression,returns,0.05,average_precision,30,0.4965236950886517,0.4964353149054867,0.0002583077573516883,0.49634288066163973,0.4965277491493337,8.838018316505806e-05,0.0002583077573516883,-4.054060681934465e-06,0.0001808144270120506
Random Forest,returns,0.05,accuracy,30,0.7725903614457831,0.7716365461847389,0.0012805531743456313,0.7711783061164186,0.7720947862530592,0.0009538152610441071,0.0012805531743456313,0.0004955751927237944,0.0014120553293644198
Random Forest,returns,0.05,balanced_accuracy,30,0.6457828221846575,0.6459398427647643,0.0013812351477066143,0.6454455741149874,0.6464341114145413,-0.00015702058010675924,0.0013812351477066143,-0.0006512892298837824,0.0003372480696702639
Random Forest,returns,0.05,precision,30,0.5020080321285141,0.4994862035718207,0.003382163035088034,0.4982759120733352,0.5006964950703062,0.002521828556693401,0.0033821630350880337,0.0013115370582078704,0.003732120055178931
Random Forest,returns,0.05,recall,30,0.41254125412541254,0.4147414741474148,0.002501973741184498,0.413846154342611,0.4156367939522186,-0.0022002200220021953,0.0025019737411844977,-0.0030955398268059917,-0.001304900217198399
Random Forest,returns,0.05,f1_score,30,0.4528985507246377,0.45317986338901173,0.0023300401631025035,0.45234606922495857,0.4540136575530649,-0.0002813126643741226,0.002330040163102503,-0.001115106828427304,0.0005524814996790588
Random Forest,returns,0.05,roc_auc,30,0.7141495612975931,0.7145783358823689,0.0008510668550924703,0.7142737855195759,0.7148828862451618,-0.00042877458477560786,0.0008510668550924703,-0.0007333249475686371,-0.00012422422198257862
