model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,7530416826157774923,0.6295180722891566,0.6317771084337349,-0.0022590361445783413,0.5657168650905603,0.5681120577780285,-0.0023951926874682394,0.35944700460829493,0.3625866050808314,-0.0031396004725364746,0.42162162162162165,0.4243243243243243,-0.002702702702702675,0.3880597014925373,0.39103362391033625,-0.0029739224177989243,0.6075156576200418,0.6079444789256898,-0.00042882130564803056,0.4248495663195855,0.4247107399808174,0.00013882633876810546
Random Forest,returns,0.05,0,7530416826157774923,0.6935240963855421,0.6957831325301205,-0.0022590361445783413,0.5851972013767421,0.5875923940642104,-0.0023951926874682394,0.4359861591695502,0.4409722222222222,-0.0049860630526720184,0.34054054054054056,0.34324324324324323,-0.002702702702702675,0.38239757207890746,0.3860182370820669,-0.00362066500315944,0.5833380353213339,0.5824155052756305,0.000922530045703418,0.4320047066000814,0.4321370401670801,-0.00013233356699871024
Logistic Regression,returns,0.05,1,14908229805258625339,0.6295180722891566,0.6287650602409639,0.0007530120481926694,0.5657168650905603,0.5660243751057947,-0.00030751001523443566,0.35944700460829493,0.35926773455377575,0.0001792700545191761,0.42162162162162165,0.4243243243243243,-0.002702702702702675,0.3880597014925373,0.38909541511771994,-0.0010357136251826216,0.6075156576200418,0.6073492072448231,0.00016645037521867412,0.4248495663195855,0.4247264278159979,0.00012313850358758316
Random Forest,returns,0.05,1,14908229805258625339,0.6935240963855421,0.6912650602409639,0.0022590361445782303,0.5851972013767421,0.581972578005981,0.003224623370761126,0.4359861591695502,0.4305555555555556,0.005430603613994611,0.34054054054054056,0.33513513513513515,0.005405405405405406,0.38239757207890746,0.3768996960486322,0.005497876030275239,0.5833380353213339,0.5818315183659651,0.0015065169553687419,0.4320047066000814,0.43130770142636315,0.0006970051737182348
Logistic Regression,returns,0.05,2,8869907090708513896,0.6295180722891566,0.6317771084337349,-0.0022590361445783413,0.5657168650905603,0.5697709191446143,-0.004054054054054013,0.35944700460829493,0.36384439359267734,-0.004397388984382411,0.42162162162162165,0.4297297297297297,-0.00810810810810808,0.3880597014925373,0.3940520446096654,-0.005992343117128096,0.6075156576200418,0.6074564125712351,5.924504880672199e-05,0.4248495663195855,0.4248235164822975,2.6049837287989153e-05
Random Forest,returns,0.05,2,8869907090708513896,0.6935240963855421,0.6965361445783133,-0.003012048192771122,0.5851972013767421,0.5872848840489759,-0.0020876826722338038,0.4359861591695502,0.4421052631578947,-0.006119103988344532,0.34054054054054056,0.34054054054054056,0.0,0.38239757207890746,0.3847328244274809,-0.0023352523485734578,0.5833380353213339,0.5808187101506517,0.0025193251706822073,0.4320047066000814,0.431610401291525,0.00039430530855638635
Logistic Regression,returns,0.05,3,15752290238473616293,0.6295180722891566,0.6287650602409639,0.0007530120481926694,0.5657168650905603,0.5660243751057947,-0.00030751001523443566,0.35944700460829493,0.35926773455377575,0.0001792700545191761,0.42162162162162165,0.4243243243243243,-0.002702702702702675,0.3880597014925373,0.38909541511771994,-0.0010357136251826216,0.6075156576200418,0.6076002934040512,-8.463578400941252e-05,0.4248495663195855,0.42517129508924567,-0.00032172876966019004
Random Forest,returns,0.05,3,15752290238473616293,0.6935240963855421,0.6942771084337349,-0.0007530120481927804,0.5851972013767421,0.5873779834113864,-0.002180782034644224,0.4359861591695502,0.4383561643835616,-0.002370005214011428,0.34054054054054056,0.34594594594594597,-0.005405405405405406,0.38239757207890746,0.3867069486404834,-0.004309376561575928,0.5833380353213339,0.5809795181402697,0.002358517181064168,0.4320047066000814,0.43120401359514887,0.0008006930049325178
Logistic Regression,returns,0.05,4,1086699067295625726,0.6295180722891566,0.6295180722891566,0.0,0.5657168650905603,0.5657168650905603,0.0,0.35944700460829493,0.35944700460829493,0.0,0.42162162162162165,0.42162162162162165,0.0,0.3880597014925373,0.3880597014925373,0.0,0.6075156576200418,0.6076115781752525,-9.592055521068232e-05,0.4248495663195855,0.4248624053670344,-1.2839047448920393e-05
Random Forest,returns,0.05,4,1086699067295625726,0.6935240963855421,0.6927710843373494,0.0007530120481927804,0.5851972013767421,0.5855047113919766,-0.00030751001523443566,0.4359861591695502,0.4349315068493151,0.0010546523202351055,0.34054054054054056,0.34324324324324323,-0.002702702702702675,0.38239757207890746,0.38368580060422963,-0.001288228525322177,0.5833380353213339,0.5811318625514869,0.0022061727698470257,0.4320047066000814,0.4300222310933121,0.0019824755067692768
Logistic Regression,returns,0.05,5,195726263658300338,0.6295180722891566,0.6310240963855421,-0.001506024096385561,0.5657168650905603,0.568419567793263,-0.002702702702702675,0.35944700460829493,0.3623853211009174,-0.0029383164926224947,0.42162162162162165,0.42702702702702705,-0.005405405405405406,0.3880597014925373,0.3920595533498759,-0.003999851857338588,0.6075156576200418,0.6078090616712746,-0.0002934040512327929,0.4248495663195855,0.42505169171115875,-0.00020212539157327125
Random Forest,returns,0.05,5,195726263658300338,0.6935240963855421,0.697289156626506,-0.0037650602409639022,0.5851972013767421,0.5878068047170344,-0.0026096033402922547,0.4359861591695502,0.44366197183098594,-0.007675812661435744,0.34054054054054056,0.34054054054054056,0.0,0.38239757207890746,0.3853211009174312,-0.002923528838523759,0.5833380353213339,0.5831574789821137,0.00018055633922020586,0.4320047066000814,0.43203439036808045,-2.968376799905581e-05
Logistic Regression,returns,0.05,6,6589023774234522870,0.6295180722891566,0.6325301204819277,-0.003012048192771122,0.5657168650905603,0.5694634091293799,-0.003746544038819577,0.35944700460829493,0.3640552995391705,-0.004608294930875556,0.42162162162162165,0.42702702702702705,-0.005405405405405406,0.3880597014925373,0.39303482587064675,-0.00497512437810943,0.6075156576200418,0.6074564125712351,5.924504880672199e-05,0.4248495663195855,0.4249191989651019,-6.963264551640425e-05
Random Forest,returns,0.05,6,6589023774234522870,0.6935240963855421,0.6935240963855421,0.0,0.5851972013767421,0.5843677706934491,0.0008294306832929976,0.4359861591695502,0.4355400696864111,0.00044608948313906716,0.34054054054054056,0.33783783783783783,0.0027027027027027306,0.38239757207890746,0.380517503805175,0.0018800682737324381,0.5833380353213339,0.5828781808948823,0.00045985442645157804,0.4320047066000814,0.4314791991059598,0.0005255074941216131
Logistic Regression,returns,0.05,7,403559179241004890,0.6295180722891566,0.6325301204819277,-0.003012048192771122,0.5657168650905603,0.5694634091293799,-0.003746544038819577,0.35944700460829493,0.3640552995391705,-0.004608294930875556,0.42162162162162165,0.42702702702702705,-0.005405405405405406,0.3880597014925373,0.39303482587064675,-0.00497512437810943,0.6075156576200418,0.6080065451672967,-0.0004908875472549035,0.4248495663195855,0.4248994633022765,-4.9896982691033376e-05
