model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.05,accuracy,30,0.6295180722891566,0.6310993975903613,0.0012868994971619975,0.6306388865195873,0.6315599086611352,-0.0015813253012048464,0.0012868994971619975,-0.0020418363719787985,-0.0011208142304308946
Logistic Regression,returns,0.05,balanced_accuracy,30,0.5657168650905603,0.5680570445184223,0.00139992201223076,0.5675560888600557,0.5685580001767889,-0.002340179427862077,0.00139992201223076,-0.0028411350862286595,-0.0018392237694954943
Logistic Regression,returns,0.05,precision,30,0.35944700460829493,0.36215387028024026,0.0017738165886210188,0.3615191181660434,0.36278862239443715,-0.002706865671945304,0.0017738165886210188,-0.0033416177861421716,-0.002072113557748436
Logistic Regression,returns,0.05,recall,30,0.42162162162162165,0.42567567567567566,0.0022162389469886534,0.42488260475380535,0.42646874659754597,-0.004054054054054037,0.002216238946988653,-0.004847124975924329,-0.003260983132183745
Logistic Regression,returns,0.05,f1_score,30,0.3880597014925373,0.3913527516324404,0.001848630223803602,0.3906912278027192,0.39201427546216155,-0.0032930501399029994,0.001848630223803602,-0.003954573969624196,-0.0026315263101818025
Logistic Regression,returns,0.05,roc_auc,30,0.6075156576200418,0.60758957287141,0.0002238754698121436,0.6075094600634164,0.6076696856794036,-7.391525136824321e-05,0.0002238754698121436,-0.0001540280593618528,6.197556625366359e-06
Logistic Regression,returns,0.05,average_precision,30,0.4248495663195855,0.42484115065753747,0.00018369042217547324,0.4247754178841597,0.42490688343091526,8.415662048055771e-06,0.00018369042217547324,-5.731711132973809e-05,7.414843542584964e-05
Random Forest,returns,0.05,accuracy,30,0.6935240963855421,0.6949548192771082,0.0021146378837168145,0.6941981058287954,0.6957115327254211,-0.0014307228915662904,0.002114637883716814,-0.0021874363398791917,-0.0006740094432533891
Random Forest,returns,0.05,balanced_accuracy,30,0.5851972013767421,0.5863270890932687,0.002346247773322723,0.5854874951103846,0.5871666830761528,-0.0011298877165265193,0.002346247773322723,-0.0019694816994106665,-0.0002902937336423723
Random Forest,returns,0.05,precision,30,0.4359861591695502,0.4389592671802057,0.00461007240914088,0.4373095739553962,0.44060896040501524,-0.00297310801065549,0.00461007240914088,-0.004622801235465004,-0.0013234147858459749
Random Forest,returns,0.05,recall,30,0.34054054054054056,0.34099099099099095,0.0043221880401992695,0.33944431586455875,0.34253766611742315,-0.0004504504504504366,0.0043221880401992695,-0.0019971255768826113,0.001096224675981738
Random Forest,returns,0.05,f1_score,30,0.38239757207890746,0.3838104550440512,0.003961460927977915,0.382392864456911,0.3852280456311914,-0.001412882965143793,0.003961460927977915,-0.0028304735522839764,4.707621996390219e-06
Random Forest,returns,0.05,roc_auc,30,0.5833380353213339,0.5822887396791362,0.0009067324294493375,0.5819642696463854,0.582613209711887,0.0010492956421975415,0.0009067324294493375,0.0007248256094467105,0.0013737656749483725
Random Forest,returns,0.05,average_precision,30,0.4320047066000814,0.43174975884113265,0.00070548288161156,0.43149730503418027,0.432002212648085,0.00025494775894877774,0.00070548288161156,2.4939519964110694e-06,0.0005074015659011444
Logistic Regression,returns,0.1,accuracy,30,0.6295180722891566,0.6302961847389558,0.0016483834527503828,0.6297063182959692,0.6308860511819423,-0.0007781124497992286,0.001648383452750383,-0.0013679788927857908,-0.00018824600681266652
Logistic Regression,returns,0.1,balanced_accuracy,30,0.5657168650905603,0.5673897383813877,0.0017497588154206532,0.5667635952307668,0.5680158815320087,-0.001672873290827348,0.001749758815420653,-0.0022990164414482955,-0.0010467301402064001
Logistic Regression,returns,0.1,precision,30,0.35944700460829493,0.36118427890800187,0.0022174958976477733,0.36039075819211486,0.3619777996238889,-0.0017372742997068425,0.0022174958976477733,-0.0025307950155938528,-0.0009437535838198322
Logistic Regression,returns,0.1,recall,30,0.42162162162162165,0.42531531531531536,0.0028816205686211355,0.4242841406380803,0.4263464899925504,-0.003693693693693678,0.002881620568621135,-0.004724868370928722,-0.0026625190164586343
Logistic Regression,returns,0.1,f1_score,30,0.3880597014925373,0.39063279393328265,0.0023166686295450927,0.3898037847110606,0.3914618031555047,-0.0025730924407452818,0.0023166686295450923,-0.003402101662967347,-0.0017440832185232165
Logistic Regression,returns,0.1,roc_auc,30,0.6075156576200418,0.6075946510184506,0.00045422442758544923,0.607432108894547,0.6077571931423541,-7.899339840881093e-05,0.00045422442758544923,-0.00024153552231231354,8.354872549469169e-05
Logistic Regression,returns,0.1,average_precision,30,0.4248495663195855,0.42487308618295516,0.00034734439503162766,0.4247487905875057,0.4249973817784046,-2.351986336975679e-05,0.00034734439503162766,-0.00014781545881920456,0.00010077573207969097
Random Forest,returns,0.1,accuracy,30,0.6935240963855421,0.6954819277108432,0.0024348237228565073,0.6946106372314924,0.6963532181901939,-0.0019578313253012327,0.0024348237228565073,-0.002829121804651947,-0.0010865408459505184
Random Forest,returns,0.1,balanced_accuracy,30,0.5851972013767421,0.5864712520453649,0.0029495561399160803,0.5854157669361577,0.587526737154572,-0.0012740506686226504,0.0029495561399160803,-0.0023295357778297856,-0.0002185655594155152
Random Forest,returns,0.1,precision,30,0.4359861591695502,0.4399159325226321,0.0054129917846286535,0.43797891828933166,0.44185294675593256,-0.0039297733530819275,0.0054129917846286535,-0.005866787586382351,-0.0019927591197815044
Random Forest,returns,0.1,recall,30,0.34054054054054056,0.3402702702702704,0.005910680815615745,0.3381551603044922,0.3423853802360486,0.00027027027027028415,0.005910680815615744,-0.0018448396955078898,0.002385380236048458
Random Forest,returns,0.1,f1_score,30,0.38239757207890746,0.38371000692812085,0.005205203658511738,0.38184734872080633,0.38557266513543537,-0.0013124348492133879,0.005205203658511738,-0.0031750930565279147,0.0005502233581011391
Random Forest,returns,0.1,roc_auc,30,0.5833380353213339,0.5828591848633603,0.0013010955293606004,0.5823935938077057,0.5833247759190149,0.00047885045797365635,0.0013010955293606007,1.325940231903795e-05,0.0009444415136282748
Random Forest,returns,0.1,average_precision,30,0.4320047066000814,0.4322410167753818,0.0009094840716047319,0.43191556208013154,0.43256647147063204,-0.0002363101753003971,0.000909484071604732,-0.00056176487055064,8.914451994984578e-05
Logistic Regression,returns,0.2,accuracy,30,0.6295180722891566,0.6298443775100401,0.0022692551490661682,0.6290323349839063,0.6306564200361738,-0.0003263052208835863,0.0022692551490661687,-0.0011383477470174016,0.00048573730525022904
Logistic Regression,returns,0.2,balanced_accuracy,30,0.5657168650905603,0.5670489382911094,0.0023745231045220697,0.5661992261109022,0.5678986504713165,-0.0013320732005491886,0.0023745231045220693,-0.0021817853807562927,-0.0004823610203420846
Logistic Regression,returns,0.2,precision,30,0.35944700460829493,0.36066900878824076,0.003003013774732215,0.3595943941100933,0.3617436234663882,-0.0012220041799457793,0.0030030137747322147,-0.0022966188580932326,-0.00014738950179832592
Logistic Regression,returns,0.2,recall,30,0.42162162162162165,0.42522522522522516,0.004336732741004074,0.423673345344454,0.4267771051059963,-0.003603603603603593,0.004336732741004074,-0.005155483484374765,-0.0020517237228324207
Logistic Regression,returns,0.2,f1_score,30,0.3880597014925373,0.390289311774574,0.003223530464673466,0.38913578621237355,0.39144283733677443,-0.0022296102820367333,0.003223530464673466,-0.003383135844237155,-0.001076084719836312
Logistic Regression,returns,0.2,roc_auc,30,0.6075156576200418,0.6075754669074086,0.000894200849294945,0.6072554812430239,0.6078954525717933,-5.980928736665595e-05,0.0008942008492949451,-0.0003797949517514136,0.0002601763770181017
Logistic Regression,returns,0.2,average_precision,30,0.4248495663195855,0.42481426759741686,0.0006673530113810169,0.4245754583892906,0.4250530768055431,3.529872216865478e-05,0.000667353011381017,-0.00020351048595756998,0.00027410793029487954
Random Forest,returns,0.2,accuracy,30,0.6935240963855421,0.6964106425702813,0.004314787509455588,0.6948666156897647,0.6979546694507979,-0.002886546184738988,0.0043147875094555884,-0.004430573065255624,-0.0013425193042223519
Random Forest,returns,0.2,balanced_accuracy,30,0.5851972013767421,0.5863684665876732,0.0046487175663122915,0.5847049443709739,0.5880319888043725,-0.0011712652109311346,0.0046487175663122915,-0.002834787427630444,0.0004922570057681751
Random Forest,returns,0.2,precision,30,0.4359861591695502,0.4415075026371653,0.009634923711158904,0.43805968946695584,0.4449553158073748,-0.005521343467615156,0.009634923711158906,-0.008969156637824664,-0.0020735302974056497
Random Forest,returns,0.2,recall,30,0.34054054054054056,0.33783783783783783,0.007238206090940393,0.3352476790532767,0.340427996622399,0.002702702702702716,0.007238206090940394,0.0001125439181415451,0.005292861487263887
Random Forest,returns,0.2,f1_score,30,0.38239757207890746,0.3827484994733412,0.007544162588132356,0.38004885556236356,0.3854481433843189,-0.000350927394433768,0.007544162588132357,-0.0030505713054114446,0.002348716516543908
Random Forest,returns,0.2,roc_auc,30,0.5833380353213339,0.5844663243619402,0.002146224056736222,0.5836983079467749,0.5852343407771056,-0.0011282890406063377,0.002146224056736222,-0.0018963054557716596,-0.00036027262544101595
Random Forest,returns,0.2,average_precision,30,0.4320047066000814,0.4332181249012661,0.001625669065137262,0.43263638669749693,0.43379986310503527,-0.0012134183011846841,0.001625669065137262,-0.0017951565049538396,-0.0006316800974155286
Logistic Regression,returns,0.5,accuracy,30,0.6295180722891566,0.6305220883534137,0.004523838816441845,0.6289032534234423,0.6321409232833851,-0.0010040160642570814,0.004523838816441846,-0.0026228509942284265,0.000614818865714264
