feature_group,noise_intensity,seed,total_clipped_values,clipped_log_return_1d,clipped_return_5d,clipped_return_20d,clipped_volatility_5d,clipped_volatility_20d,clipped_downside_volatility_20d,clipped_price_to_ma_10,clipped_price_to_ma_50,clipped_rsi_14,clipped_volume_ratio_20d,clipped_intraday_range
returns,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,3,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,4,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,5,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,6,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,7,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,8,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,9,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,10,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,11,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,12,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,13,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,14,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,15,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,16,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,17,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,18,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,19,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,20,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,21,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,22,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,23,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,24,0,0,0,0,0,0,0,0,0,0,0,0
returns,0.05,25,0,0,0,0,0,0,0,0,0,0,0,0
