model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,14532273459269585791,0.8072289156626506,0.8064759036144579,0.0007530120481927804,0.7105380405236933,0.7082755970847793,0.002262443438914019,0.43859649122807015,0.43661971830985913,0.0019767729182110227,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.4910891089108911,0.002982037334168186,0.7868561641875846,0.7870114900244026,-0.00015532583681798773,0.5115454699383656,0.5118979759572789,-0.00035250601891334554
Random Forest,returns,0.05,0,14532273459269585791,0.8463855421686747,0.8448795180722891,0.001506024096385561,0.6851340911599162,0.6842307487931591,0.0009033423667570428,0.547486033519553,0.5414364640883977,0.0060495694311553105,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48756218905472637,0.002437810945273622,0.7699256479744285,0.7708616905173576,-0.0009360425429291164,0.4641844234644762,0.464386001090023,-0.00020157762554678937
Logistic Regression,returns,0.05,1,11218022376425585561,0.8072289156626506,0.8072289156626506,0.0,0.7105380405236933,0.7105380405236933,0.0,0.43859649122807015,0.43859649122807015,0.0,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49407114624505927,0.0,0.7868561641875846,0.786860251709606,-4.087522021412049e-06,0.5115454699383656,0.5116195946672982,-7.412472893264521e-05
Random Forest,returns,0.05,1,11218022376425585561,0.8463855421686747,0.8463855421686747,0.0,0.6851340911599162,0.6851340911599162,0.0,0.547486033519553,0.547486033519553,0.0,0.4434389140271493,0.4434389140271493,0.0,0.49,0.49,0.0,0.7699256479744285,0.770685927070432,-0.0007602790960035133,0.4641844234644762,0.4644437487025618,-0.0002593252380855837
Logistic Regression,returns,0.05,2,13314777065812042774,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.7866844882626806,0.00017167592490408,0.5115454699383656,0.5115411756946711,4.294243694524802e-06
Random Forest,returns,0.05,2,13314777065812042774,0.8463855421686747,0.8463855421686747,0.0,0.6851340911599162,0.6851340911599162,0.0,0.547486033519553,0.547486033519553,0.0,0.4434389140271493,0.4434389140271493,0.0,0.49,0.49,0.0,0.7699256479744285,0.7705142511455281,-0.0005886031710995443,0.4641844234644762,0.46484348517901813,-0.000659061714541942
Logistic Regression,returns,0.05,3,14848720754381039840,0.8072289156626506,0.8072289156626506,0.0,0.7105380405236933,0.7087272682681578,0.0018107722555354977,0.43859649122807015,0.4381625441696113,0.00043394705845883896,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.49206349206349204,0.002007654181567231,0.7868561641875846,0.7869583522381227,-0.00010218805053807678,0.5115454699383656,0.5116119019533966,-6.643201503098162e-05
Random Forest,returns,0.05,3,14848720754381039840,0.8463855421686747,0.8441265060240963,0.0022590361445783413,0.6851340911599162,0.6837790776097806,0.0013550135501355642,0.547486033519553,0.5384615384615384,0.009024495058014614,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48635235732009924,0.0036476426799007533,0.7699256479744285,0.7710292789202402,-0.0011036309458116733,0.4641844234644762,0.465063050060132,-0.0008786265956557959
Logistic Regression,returns,0.05,4,4177047694689608300,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.7867948513572617,6.131283032295709e-05,0.5115454699383656,0.5117278643198999,-0.0001823943815343343
Random Forest,returns,0.05,4,4177047694689608300,0.8463855421686747,0.8426204819277109,0.003765060240963791,0.6851340911599162,0.6810649629874881,0.004069128172428105,0.547486033519553,0.532967032967033,0.01451900055252009,0.4434389140271493,0.43891402714932126,0.004524886877828038,0.49,0.4813895781637717,0.008610421836228288,0.7699256479744285,0.7700400985910312,-0.000114450616602646,0.4641844234644762,0.46418707837660367,-2.654912127475484e-06
Logistic Regression,returns,0.05,5,6658992470176654891,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.7867090133948097,0.00014715079277494159,0.5115454699383656,0.5115764050866144,-3.093514824881183e-05
Random Forest,returns,0.05,5,6658992470176654891,0.8463855421686747,0.8433734939759037,0.0030120481927710108,0.6851340911599162,0.6833274064264021,0.0018066847335140857,0.547486033519553,0.5355191256830601,0.011966907836492902,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48514851485148514,0.004851485148514856,0.7699256479744285,0.7718631334126314,-0.001937485438202824,0.4641844234644762,0.4645155411956925,-0.0003311177312163016
Logistic Regression,returns,0.05,6,7084274115828108711,0.8072289156626506,0.8064759036144579,0.0007530120481927804,0.7105380405236933,0.7082755970847793,0.002262443438914019,0.43859649122807015,0.43661971830985913,0.0019767729182110227,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.4910891089108911,0.002982037334168186,0.7868561641875846,0.7867948513572618,6.131283032284607e-05,0.5115454699383656,0.5114305161311201,0.00011495380724546589
Random Forest,returns,0.05,6,7084274115828108711,0.8463855421686747,0.8456325301204819,0.0007530120481927804,0.6851340911599162,0.6846824199765376,0.00045167118337863243,0.547486033519553,0.5444444444444444,0.0030415890751086527,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48877805486284287,0.001221945137157121,0.7699256479744285,0.7712540926314241,-0.0013284446569955533,0.4641844234644762,0.46506345208381916,-0.0008790286193429697
Logistic Regression,returns,0.05,7,10818000646852568014,0.8072289156626506,0.8064759036144579,0.0007530120481927804,0.7105380405236933,0.7082755970847793,0.002262443438914019,0.43859649122807015,0.43661971830985913,0.0019767729182110227,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.4910891089108911,0.002982037334168186,0.7868561641875846,0.7868970394078,-4.0875220215341734e-05,0.5115454699383656,0.5112703340439931,0.0002751358943724469
Random Forest,returns,0.05,7,10818000646852568014,0.8463855421686747,0.8448795180722891,0.001506024096385561,0.6851340911599162,0.6824199765376235,0.0027141146222926515,0.547486033519553,0.5418994413407822,0.005586592178770888,0.4434389140271493,0.43891402714932126,0.004524886877828038,0.49,0.485,0.0050000000000000044,0.7699256479744285,0.7714339436003711,-0.0015082956259425684,0.4641844234644762,0.46486584857352864,-0.000681425109052447
Logistic Regression,returns,0.05,8,10847162666299770987,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.7869052144518429,-4.9050264258276854e-05,0.5115454699383656,0.5114539608236902,9.150911467536993e-05
Random Forest,returns,0.05,8,10847162666299770987,0.8463855421686747,0.8441265060240963,0.0022590361445783413,0.6851340911599162,0.6837790776097806,0.0013550135501355642,0.547486033519553,0.5384615384615384,0.009024495058014614,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48635235732009924,0.0036476426799007533,0.7699256479744285,0.7695455084264268,0.00038013954800175664,0.4641844234644762,0.46444373537492495,-0.00025931191044875623
Logistic Regression,returns,0.05,9,15082185091121097951,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.7868275515334339,2.861265415077252e-05,0.5115454699383656,0.5114734555822185,7.201435614712093e-05
Random Forest,returns,0.05,9,15082185091121097951,0.8463855421686747,0.8456325301204819,0.0007530120481927804,0.6851340911599162,0.6846824199765376,0.00045167118337863243,0.547486033519553,0.5444444444444444,0.0030415890751086527,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48877805486284287,0.001221945137157121,0.7699256479744285,0.7704488507931836,-0.0005232028187550641,0.4641844234644762,0.46672833758959253,-0.002543914125116342
Logistic Regression,returns,0.05,10,1477548207149982359,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.786672225696616,0.00018393849096864923,0.5115454699383656,0.5110452457104689,0.0005002242278966396
Random Forest,returns,0.05,10,1477548207149982359,0.8463855421686747,0.8463855421686747,0.0,0.6851340911599162,0.6851340911599162,0.0,0.547486033519553,0.547486033519553,0.0,0.4434389140271493,0.4434389140271493,0.0,0.49,0.49,0.0,0.7699256479744285,0.7700973238993326,-0.00017167592490408,0.4641844234644762,0.46330179322799325,0.0008826302364829397
Logistic Regression,returns,0.05,11,12141175401392557217,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.7868275515334339,2.861265415077252e-05,0.5115454699383656,0.5116838265738257,-0.0001383566354601351
Random Forest,returns,0.05,11,12141175401392557217,0.8463855421686747,0.8441265060240963,0.0022590361445783413,0.6851340911599162,0.6855898498653161,-0.00045575870539993346,0.547486033519553,0.5380434782608695,0.009442555258683538,0.4434389140271493,0.4479638009049774,-0.004524886877828094,0.49,0.4888888888888889,0.0011111111111111183,0.7699256479744285,0.7694514954199316,0.0004741525544968983,0.4641844234644762,0.4652071818868724,-0.001022758422396186
Logistic Regression,returns,0.05,12,1398633990461572095,0.8072289156626506,0.8072289156626506,0.0,0.7105380405236933,0.7087272682681578,0.0018107722555354977,0.43859649122807015,0.4381625441696113,0.00043394705845883896,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.49206349206349204,0.002007654181567231,0.7868561641875846,0.7868766017976921,-2.0437610107504334e-05,0.5115454699383656,0.5114496319235463,9.583801481927168e-05
Random Forest,returns,0.05,12,1398633990461572095,0.8463855421686747,0.8463855421686747,0.0,0.6851340911599162,0.6851340911599162,0.0,0.547486033519553,0.547486033519553,0.0,0.4434389140271493,0.4434389140271493,0.0,0.49,0.49,0.0,0.7699256479744285,0.7692185066647047,0.0007071413097238244,0.4641844234644762,0.4630547213537147,0.0011297021107614658
Logistic Regression,returns,0.05,13,14457364386206040543,0.8072289156626506,0.8064759036144579,0.0007530120481927804,0.7105380405236933,0.7082755970847793,0.002262443438914019,0.43859649122807015,0.43661971830985913,0.0019767729182110227,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.4910891089108911,0.002982037334168186,0.7868561641875846,0.7868888643637567,-3.270017617207355e-05,0.5115454699383656,0.5120935411071523,-0.0005480711687867457
Random Forest,returns,0.05,13,14457364386206040543,0.8463855421686747,0.8478915662650602,-0.001506024096385561,0.6851340911599162,0.6878482057822086,-0.0027141146222924295,0.547486033519553,0.553072625698324,-0.005586592178770999,0.4434389140271493,0.4479638009049774,-0.004524886877828094,0.49,0.495,-0.0050000000000000044,0.7699256479744285,0.7695536834704697,0.0003719645039588215,0.4641844234644762,0.4626828597435823,0.0015015637208938837
Logistic Regression,returns,0.05,14,2830709832052131625,0.8072289156626506,0.8064759036144579,0.0007530120481927804,0.7105380405236933,0.7082755970847793,0.002262443438914019,0.43859649122807015,0.43661971830985913,0.0019767729182110227,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.4910891089108911,0.002982037334168186,0.7868561641875846,0.787015577546424,-0.00015941335883939978,0.5115454699383656,0.5114217902376816,0.00012367970068394296
Random Forest,returns,0.05,14,2830709832052131625,0.8463855421686747,0.8441265060240963,0.0022590361445783413,0.6851340911599162,0.6837790776097806,0.0013550135501355642,0.547486033519553,0.5384615384615384,0.009024495058014614,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48635235732009924,0.0036476426799007533,0.7699256479744285,0.7695782086025988,0.0003474393718296831,0.4641844234644762,0.4653366686622579,-0.0011522451977817316
Logistic Regression,returns,0.05,15,5186268233244336565,0.8072289156626506,0.8072289156626506,0.0,0.7105380405236933,0.7087272682681578,0.0018107722555354977,0.43859649122807015,0.4381625441696113,0.00043394705845883896,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.49206349206349204,0.002007654181567231,0.7868561641875846,0.7868193764893908,3.678769819381866e-05,0.5115454699383656,0.5114279552931648,0.00011751464520082244
Random Forest,returns,0.05,15,5186268233244336565,0.8463855421686747,0.8456325301204819,0.0007530120481927804,0.6851340911599162,0.6846824199765376,0.00045167118337863243,0.547486033519553,0.5444444444444444,0.0030415890751086527,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48877805486284287,0.001221945137157121,0.7699256479744285,0.7708576029953361,-0.0009319550209075933,0.4641844234644762,0.4640800840032211,0.00010433946125509852
Logistic Regression,returns,0.05,16,17127904975593337152,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.786946089672058,-8.992548447339654e-05,0.5115454699383656,0.5118226770492236,-0.000277207110857991
Random Forest,returns,0.05,16,17127904975593337152,0.8463855421686747,0.8478915662650602,-0.001506024096385561,0.6851340911599162,0.6878482057822086,-0.0027141146222924295,0.547486033519553,0.553072625698324,-0.005586592178770999,0.4434389140271493,0.4479638009049774,-0.004524886877828094,0.49,0.495,-0.0050000000000000044,0.7699256479744285,0.7706123516740446,-0.000686703699616098,0.4641844234644762,0.4648613834489518,-0.0006769599844755891
Logistic Regression,returns,0.05,17,18144530575790426804,0.8072289156626506,0.8064759036144579,0.0007530120481927804,0.7105380405236933,0.7082755970847793,0.002262443438914019,0.43859649122807015,0.43661971830985913,0.0019767729182110227,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.4910891089108911,0.002982037334168186,0.7868561641875846,0.7868030264013047,5.313778627991095e-05,0.5115454699383656,0.5117077587514526,-0.00016228881308699705
Random Forest,returns,0.05,17,18144530575790426804,0.8463855421686747,0.8456325301204819,0.0007530120481927804,0.6851340911599162,0.6846824199765376,0.00045167118337863243,0.547486033519553,0.5444444444444444,0.0030415890751086527,0.4434389140271493,0.4434389140271493,0.0,0.49,0.48877805486284287,0.001221945137157121,0.7699256479744285,0.7702403871700859,-0.0003147391956573875,0.4641844234644762,0.464446175506539,-0.00026175204206280167
Logistic Regression,returns,0.05,18,13971687972867856603,0.8072289156626506,0.8079819277108434,-0.0007530120481927804,0.7105380405236933,0.7109897117070718,-0.0004516711833785214,0.43859649122807015,0.44014084507042256,-0.0015443538423524084,0.5656108597285068,0.5656108597285068,0.0,0.49407114624505927,0.49504950495049505,-0.0009783587054357779,0.7868561641875846,0.7870973279868545,-0.0002411637992698612,0.5115454699383656,0.5115161712119655,2.929872640011766e-05
Random Forest,returns,0.05,18,13971687972867856603,0.8463855421686747,0.8441265060240963,0.0022590361445783413,0.6851340911599162,0.6819683053542451,0.003165785805671062,0.547486033519553,0.5388888888888889,0.008597144630664189,0.4434389140271493,0.43891402714932126,0.004524886877828038,0.49,0.4837905236907731,0.006209476309226913,0.7699256479744285,0.7701177615094401,-0.00019211353501158435,0.4641844234644762,0.46524798464956385,-0.001063561185087658
Logistic Regression,returns,0.05,19,7428505724235313707,0.8072289156626506,0.8064759036144579,0.0007530120481927804,0.7105380405236933,0.7082755970847793,0.002262443438914019,0.43859649122807015,0.43661971830985913,0.0019767729182110227,0.5656108597285068,0.5610859728506787,0.004524886877828038,0.49407114624505927,0.4910891089108911,0.002982037334168186,0.7868561641875846,0.7868847768417352,-2.8612654150550476e-05,0.5115454699383656,0.5116474411816058,-0.00010197124324018425
Random Forest,returns,0.05,19,7428505724235313707,0.8463855421686747,0.8456325301204819,0.0007530120481927804,0.6851340911599162,0.6864931922320732,-0.0013591010721569763,0.547486033519553,0.5439560439560439,0.0035299895635091394,0.4434389140271493,0.4479638009049774,-0.004524886877828094,0.49,0.4913151364764268,-0.0013151364764267814,0.7699256479744285,0.7700278360249666,-0.00010218805053807678,0.4641844234644762,0.46453124793801914,-0.00034682447354295043
