model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.05,accuracy,30,0.8072289156626506,0.8072791164658637,0.0006232545081285222,0.8070560877044601,0.8075021452272673,-5.020080321285203e-05,0.0006232545081285224,-0.00027322956461645406,0.00017282795819075002
Logistic Regression,returns,0.05,balanced_accuracy,30,0.7105380405236933,0.7097834839585199,0.0012366088865380632,0.7093409691516339,0.7102259987654058,0.0007545565651734809,0.0012366088865380632,0.0003120417582875617,0.0011970713720594
Logistic Regression,returns,0.05,precision,30,0.43859649122807015,0.43851186282034155,0.0014614869424094668,0.43798887643464834,0.43903484920603475,8.462840772860228e-05,0.0014614869424094668,-0.00043835797796458443,0.000607614793421789
Logistic Regression,returns,0.05,recall,30,0.5656108597285068,0.5636500754147813,0.002280574357437688,0.5628339823619521,0.5644661684676104,0.0019607843137254832,0.002280574357437688,0.001144691260896322,0.0027768773665546444
Logistic Regression,returns,0.05,f1_score,30,0.49407114624505927,0.4932675793459263,0.0017351644232182777,0.4926466587314826,0.49388849996037,0.0008035668991329681,0.0017351644232182777,0.00018264628468926832,0.0014244875135766678
Logistic Regression,returns,0.05,roc_auc,30,0.7868561641875846,0.7868906356232994,0.00012510794157778534,0.7868458663213723,0.7869354049252265,-3.447143571479276e-05,0.00012510794157778534,-7.924073764191786e-05,1.0297866212332344e-05
Logistic Regression,returns,0.05,average_precision,30,0.5115454699383656,0.5115721145975196,0.00020398155683359944,0.5114991207348577,0.5116451084601815,-2.6644659153995943e-05,0.00020398155683359944,-9.963852181594848e-05,4.634920350795659e-05
Random Forest,returns,0.05,accuracy,30,0.8463855421686747,0.8455321285140563,0.0013077484501665818,0.8450641567412666,0.8460001002868461,0.0008534136546184771,0.0013077484501665818,0.00038544188182868753,0.0013213854274082666
Random Forest,returns,0.05,balanced_accuracy,30,0.6851340911599162,0.6846825562272717,0.0014251206399316797,0.6841725833557892,0.6851925290987542,0.00045153493264451133,0.00142512063993168,-5.8437938837917344e-05,0.0009615078041269401
Random Forest,returns,0.05,precision,30,0.547486033519553,0.54406172097477,0.005133166938154292,0.5422248407767717,0.5458986011727683,0.0034243125447830664,0.005133166938154293,0.001587432346784736,0.005261192742781397
