model,feature_group,noise_intensity,seed,dataset_signature,clean_accuracy,noisy_accuracy,accuracy_degradation,clean_balanced_accuracy,noisy_balanced_accuracy,balanced_accuracy_degradation,clean_precision,noisy_precision,precision_degradation,clean_recall,noisy_recall,recall_degradation,clean_f1_score,noisy_f1_score,f1_score_degradation,clean_roc_auc,noisy_roc_auc,roc_auc_degradation,clean_average_precision,noisy_average_precision,average_precision_degradation
Logistic Regression,returns,0.05,0,1747831950671449812,0.7484939759036144,0.7507530120481928,-0.0022590361445783413,0.7460921667107234,0.748336543181904,-0.002244376471180587,0.6098003629764065,0.6127272727272727,-0.00292690975086618,0.7384615384615385,0.7406593406593407,-0.00219780219780219,0.6679920477137177,0.6706467661691542,-0.002654718455436522,0.8216557783568091,0.8214392709238071,0.00021650743300205555,0.7148918138762475,0.7146999917035266,0.00019182217272084578
Random Forest,returns,0.05,0,1747831950671449812,0.7710843373493976,0.7733433734939759,-0.0022590361445782303,0.7548556826907342,0.7565738957491535,-0.0017182130584192379,0.65439672801636,0.6584362139917695,-0.004039485975409596,0.7032967032967034,0.7032967032967034,0.0,0.6779661016949152,0.6801275239107333,-0.002161422215818054,0.829900683508931,0.8294878088692521,0.00041287463967887295,0.7514739800323219,0.7511560018022825,0.0003179782300394285
Logistic Regression,returns,0.05,1,9032694674975560840,0.7484939759036144,0.7492469879518072,-0.0007530120481927804,0.7460921667107234,0.7466649043968632,-0.000572737686139746,0.6098003629764065,0.610909090909091,-0.0011087279326844612,0.7384615384615385,0.7384615384615385,0.0,0.6679920477137177,0.6686567164179105,-0.0006646687041927946,0.8216557783568091,0.8217589970167288,-0.00010321865991969048,0.7148918138762475,0.7149853420477248,-9.352817147734171e-05
Random Forest,returns,0.05,1,9032694674975560840,0.7710843373493976,0.7733433734939759,-0.0022590361445782303,0.7548556826907342,0.7560477323363921,-0.0011920496456578888,0.65439672801636,0.6590909090909091,-0.004694181074549109,0.7032967032967034,0.701098901098901,0.002197802197802301,0.6779661016949152,0.6794462193823216,-0.0014801176874064126,0.829900683508931,0.829890613395768,1.0070113163007655e-05,0.7514739800323219,0.7517767410906712,-0.0003027610583492546
Logistic Regression,returns,0.05,2,14024619236294113956,0.7484939759036144,0.7477409638554217,0.0007530120481927804,0.7460921667107234,0.7455194290245837,0.000572737686139746,0.6098003629764065,0.6086956521739131,0.0011047108024934138,0.7384615384615385,0.7384615384615385,0.0,0.6679920477137177,0.6673286991062563,0.0006633486074614225,0.8216557783568091,0.8216759185831352,-2.014022632601531e-05,0.7148918138762475,0.7150004430642326,-0.0001086291879851542
Random Forest,returns,0.05,2,14024619236294113956,0.7710843373493976,0.7725903614457831,-0.0015060240963854499,0.7548556826907342,0.7560011580630137,-0.001145475372279492,0.65439672801636,0.6570841889117043,-0.002687460895344329,0.7032967032967034,0.7032967032967034,0.0,0.6779661016949152,0.6794055201698513,-0.001439418474936116,0.829900683508931,0.8301398486965497,-0.000239165187618684,0.7514739800323219,0.7507885401703867,0.0006854398619352553
Logistic Regression,returns,0.05,3,12433882473392696104,0.7484939759036144,0.75,-0.001506024096385561,0.7460921667107234,0.7477638054957643,-0.001671638785040841,0.6098003629764065,0.6116152450090744,-0.001814882032667886,0.7384615384615385,0.7406593406593407,-0.00219780219780219,0.6679920477137177,0.6699801192842942,-0.001988071570576566,0.8216557783568091,0.8217413743186939,-8.55959618847324e-05,0.7148918138762475,0.7149079522712534,-1.613839500591574e-05
Random Forest,returns,0.05,3,12433882473392696104,0.7710843373493976,0.7733433734939759,-0.0022590361445782303,0.7548556826907342,0.7571000591619148,-0.002244376471180587,0.65439672801636,0.6577868852459017,-0.0033901572295417237,0.7032967032967034,0.7054945054945055,-0.00219780219780219,0.6779661016949152,0.6808059384941676,-0.002839836799252371,0.829900683508931,0.8294273881902747,0.00047329531865625274,0.7514739800323219,0.7503053622696824,0.0011686177626395455
Logistic Regression,returns,0.05,4,13971672016539342952,0.7484939759036144,0.7492469879518072,-0.0007530120481927804,0.7460921667107234,0.7471910678096245,-0.001098901098901095,0.6098003629764065,0.6105072463768116,-0.000706883400405145,0.7384615384615385,0.7406593406593407,-0.00219780219780219,0.6679920477137177,0.6693147964250248,-0.001322748711307109,0.8216557783568091,0.821894943544428,-0.00023916518761890604,0.7148918138762475,0.7152092014625353,-0.0003173875862878539
Random Forest,returns,0.05,4,13971672016539342952,0.7710843373493976,0.7718373493975904,-0.0007530120481927804,0.7548556826907342,0.7559545837896353,-0.001098901098901095,0.65439672801636,0.6551020408163265,-0.0007053127999665509,0.7032967032967034,0.7054945054945055,-0.00219780219780219,0.6779661016949152,0.6793650793650794,-0.0013989776701641699,0.829900683508931,0.830165023979457,-0.0002643404705260366,0.7514739800323219,0.7519092835378804,-0.0004353035055585375
