model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.05,accuracy,30,0.7484939759036144,0.7490712851405622,0.0008993488619019992,0.748749457283525,0.7493931129975994,-0.0005773092369477983,0.0008993488619019992,-0.000899137093984943,-0.00025548137991065367
Logistic Regression,returns,0.05,balanced_accuracy,30,0.7460921667107234,0.7466540370664082,0.0009263234574416936,0.746322556474326,0.7469855176584904,-0.0005618703556847866,0.0009263234574416936,-0.000893350947766955,-0.00023038976360261832
Logistic Regression,returns,0.05,precision,30,0.6098003629764065,0.6105576843473575,0.001199307963518185,0.610128517504348,0.6109868511903669,-0.0007573213709511917,0.0011993079635181849,-0.0011864882139606603,-0.00032815452794172315
Logistic Regression,returns,0.05,recall,30,0.7384615384615385,0.7389743589743591,0.001492111107526067,0.7384404138719204,0.7395083040767979,-0.000512820512820511,0.001492111107526067,-0.0010467656152592592,2.112458961823734e-05
Logistic Regression,returns,0.05,f1_score,30,0.6679920477137177,0.6686553783141744,0.0011006204935117155,0.6682615263287626,0.6690492302995863,-0.0006633306004567056,0.0011006204935117155,-0.001057182585868611,-0.00026947861504480016
Logistic Regression,returns,0.05,roc_auc,30,0.8216557783568091,0.8216669393988983,0.00011741562862521215,0.8216249227558092,0.8217089560419875,-1.1161042088999226e-05,0.00011741562862521216,-5.317768517809552e-05,3.085560100009706e-05
Logistic Regression,returns,0.05,average_precision,30,0.7148918138762475,0.7148810125801455,0.00017183111885121238,0.7148195236039597,0.7149425015563312,1.080129610205871e-05,0.00017183111885121238,-5.0687680083699294e-05,7.229027228781671e-05
Random Forest,returns,0.05,accuracy,30,0.7710843373493976,0.7730672690763052,0.0009376662263250917,0.7727317295265068,0.7734028086261036,-0.0019829317269075626,0.0009376662263250916,-0.002318471276705974,-0.0016473921771091513
Random Forest,returns,0.05,balanced_accuracy,30,0.7548556826907342,0.7565217409547308,0.0008570380605673882,0.7562150538235008,0.7568284280859607,-0.0016660582639964024,0.0008570380605673881,-0.0019727453952263843,-0.0013593711327664207
Random Forest,returns,0.05,precision,30,0.65439672801636,0.6577496619797978,0.0016662299744243574,0.6571534092410486,0.658345914718547,-0.0033529339634378653,0.0016662299744243574,-0.00394918670218707,-0.0027566812246886604
